# threshold = 1.7354317177492
# Area under ROC curve = 0.895902547065339
# aggregate.tpos = 11
# aggregate.tneg = 120
# aggregate.fpos = 9
# aggregate.fneg = 3
# rocframe: 
    predicted    actual  threshold fold tpos tneg fpos fneg
2   0.7926846 0.3010300 0.00000000    1   14    9  120    0
4   0.8134680 0.7160033 0.00000000    1   14    9  120    0
7   0.7485747 1.0253059 0.00000000    1   14    9  120    0
8   0.8255302 2.0557605 0.00000000    1   14    9  120    0
9   0.6144202 1.6314438 0.00000000    1   14    9  120    0
12  0.8342083 1.2671717 0.00000000    1   14    9  120    0
13  0.4733727 1.4132998 0.00000000    1   14    9  120    0
38  1.0064351 0.0000000 0.00000000    2   14    9  120    0
85  0.8471116 1.0827854 0.00000000    3   14    9  120    0
34  1.0167649 0.0000000 0.02409639    2   14   10  119    0
20  1.0247864 0.0000000 0.03614458    2   13   13  116    1
25  1.0291941 0.9242793 0.03614458    2   13   13  116    1
45  1.0267557 3.0196147 0.03614458    2   13   13  116    1
51  1.0318883 0.3010300 0.03614458    2   13   13  116    1
71  0.9167580 0.7993405 0.05000000    3   13   18  111    1
73  0.9118855 0.3010300 0.05000000    3   13   18  111    1
77  0.9087709 1.2041200 0.05000000    3   13   18  111    1
120 0.9000429 0.4913617 0.05000000    3   13   18  111    1
121 0.9143626 0.3010300 0.05000000    3   13   18  111    1
75  0.9270076 0.9344985 0.06250000    3   13   19  110    1
23  1.0336085 1.3483049 0.07228916    2   13   20  109    1
86  0.9477258 1.9818186 0.08750000    3   13   21  108    1
72  0.9704396 0.7160033 0.11250000    3   13   24  105    1
74  0.9768026 0.4913617 0.11250000    3   13   24  105    1
113 0.9636468 1.4132998 0.11250000    3   13   24  105    1
140 0.9293425 1.0863598 0.12149533    4   13   25  104    1
41  1.0492219 1.4955443 0.13253012    2   13   27  102    1
44  1.0483472 1.5717088 0.13253012    2   13   27  102    1
87  0.9898068 0.0000000 0.16250000    3   13   29  100    1
99  0.9887639 1.5378191 0.16250000    3   13   29  100    1
129 1.0114374 0.7993405 0.17757009    4   13   30   99    1
104 1.0015791 1.2718416 0.21250000    3   13   32   97    1
111 0.9993512 0.4771213 0.21250000    3   13   32   97    1
19  1.0667726 0.3010300 0.21686747    2   13   34   95    1
24  1.0666305 0.0000000 0.21686747    2   13   34   95    1
62  1.0685027 1.2430380 0.22891566    2   13   35   94    1
117 1.0153532 1.2718416 0.23750000    3   13   36   93    1
63  1.0703533 0.9822712 0.24096386    2   13   37   92    1
131 1.0457367 0.3010300 0.24299065    4   13   38   91    1
135 1.0617373 0.4771213 0.25233645    4   13   40   89    1
142 1.0614885 1.3074960 0.25233645    4   13   40   89    1
93  1.0395796 1.7489629 0.26250000    3   13   42   87    1
94  1.0391135 0.7993405 0.26250000    3   13   42   87    1
132 1.0659430 0.7160033 0.27102804    4   13   43   86    1
141 1.0830927 0.8633229 0.28971963    4   13   44   85    1
143 1.0901215 1.7505084 0.30841121    4   13   45   84    1
100 1.0478601 0.0000000 0.31250000    3   13   47   82    1
112 1.0499278 1.2068259 0.31250000    3   13   47   82    1
36  1.0746959 1.5263393 0.31325301    2   13   48   81    1
125 1.0998843 0.6127839 0.31775701    4   13   49   80    1
84  1.0848900 0.0000000 0.32500000    3   13   53   76    1
92  1.0616561 1.2329961 0.32500000    3   13   53   76    1
95  1.0709192 1.0827854 0.32500000    3   13   53   76    1
96  1.0575218 0.7993405 0.32500000    3   13   53   76    1
98  1.0849691 1.4393327 0.33750000    3   13   54   75    1
105 1.1132753 2.1760913 0.35000000    3   13   55   74    1
35  1.0821001 1.6138418 0.37349398    2   13   57   72    1
42  1.0832158 1.4456042 0.37349398    2   13   57   72    1
78  1.1473955 1.0413927 0.38750000    3   13   62   67    1
106 1.1503896 1.5611014 0.38750000    3   13   62   67    1
109 1.1361299 1.0827854 0.38750000    3   13   62   67    1
115 1.1344621 0.6127839 0.38750000    3   13   62   67    1
116 1.1394403 1.2380461 0.38750000    3   13   62   67    1
127 1.1519863 0.0000000 0.39252336    4   13   63   66    1
91  1.1535994 0.9912261 0.40000000    3   13   64   65    1
54  1.0884647 1.7656686 0.40963855    2   13   65   64    1
103 1.1725016 2.1844075 0.43750000    3   13   66   63    1
6   1.1101677 2.0338257 0.44444444    1   13   67   62    1
83  1.1793301 0.6127839 0.45000000    3   13   68   61    1
130 1.2001921 0.8750613 0.45794393    4   13   69   60    1
32  1.0976288 0.7160033 0.48192771    2   13   70   59    1
97  1.2559362 1.0791812 0.51250000    3   13   71   58    1
124 1.2180306 0.6127839 0.51401869    4   13   72   57    1
22  1.1099138 1.0374265 0.51807229    2   13   74   55    1
47  1.1088809 1.5327544 0.51807229    2   13   74   55    1
108 1.2775598 0.7993405 0.53750000    3   13   75   54    1
26  1.1191616 0.0000000 0.56626506    2   13   77   52    1
49  1.1261994 1.1205739 0.56626506    2   13   77   52    1
133 1.2653319 1.0863598 0.57009346    4   13   78   51    1
119 1.3001692 1.7092700 0.57500000    3   13   79   50    1
59  1.1390852 0.9867717 0.59036145    2   13   81   48    1
65  1.1366056 1.3856063 0.59036145    2   13   81   48    1
15  1.1935623 1.9947569 0.60683761    1   13   82   47    1
70  1.3219461 1.6812412 0.62500000    3   13   83   46    1
46  1.1519893 2.1433271 0.62650602    2   13   84   45    1
76  1.3340703 1.8920946 0.63750000    3   13   85   44    1
134 1.3199259 1.2380461 0.64485981    4   13   86   43    1
