# threshold = 2.1508074607957
# Area under ROC curve = 0.731238095238095
# aggregate.tpos = 21
# aggregate.tneg = 103
# aggregate.fpos = 22
# aggregate.fneg = 21
# rocframe: 
    predicted    actual  threshold fold tpos tneg fpos fneg
67  1.2050628 0.6127839 0.00000000    2   41    3  122    1
71  1.0138215 0.3010300 0.00000000    2   41    3  122    1
73  1.1127276 0.3010300 0.00000000    2   41    3  122    1
81  0.9802844 2.5161386 0.00000000    2   41    3  122    1
42  1.2749036 2.4637437 0.01098901    2   40    5  120    2
62  1.2829476 1.4712917 0.01098901    2   40    5  120    2
78  1.2770119 1.0374265 0.01098901    2   40    5  120    2
28  1.2516305 1.6532125 0.01980198    1   40    6  119    2
50  1.2913232 1.4593925 0.02197802    2   40    7  118    2
55  1.3023496 1.9020029 0.03296703    2   40    9  116    2
72  1.3324833 1.5786392 0.03296703    2   40    9  116    2
89  1.1900645 0.0000000 0.03571429    3   40   10  115    2
48  1.3602875 1.8469553 0.05494505    2   40   11  114    2
9   1.2959139 0.3010300 0.05940594    1   40   12  113    2
91  1.2932922 1.7986506 0.05952381    3   40   13  112    2
31  1.3288028 1.1430148 0.07920792    1   40   14  111    2
68  1.3751421 1.3979400 0.08791209    2   40   15  110    2
32  1.3589503 1.3579348 0.08910891    1   40   16  109    2
101 1.3709031 2.1734776 0.09523810    3   40   18  107    2
128 1.3561404 0.6127839 0.09523810    3   40   18  107    2
52  1.4041356 1.3483049 0.09890110    2   40   22  103    2
54  1.3975593 1.3710679 0.09890110    2   40   22  103    2
60  1.3994641 2.1027766 0.09890110    2   40   22  103    2
64  1.4150052 2.1598678 0.09890110    2   40   22  103    2
22  1.4108947 2.2000293 0.11881188    1   40   23  102    2
43  1.4699905 1.3961993 0.15384615    2   40   25  100    2
53  1.4652025 2.2355284 0.15384615    2   40   25  100    2
152 1.4181122 1.4183013 0.16161616    4   40   26   99    2
140 1.4306377 1.9138139 0.17171717    4   40   27   98    2
150 1.4560161 0.3010300 0.19191919    4   40   28   97    2
151 1.4581314 2.1448854 0.20202020    4   40   30   95    2
157 1.4600110 1.4742163 0.20202020    4   40   30   95    2
108 1.4536860 1.3384565 0.20238095    3   40   32   93    2
110 1.4454845 1.6866363 0.20238095    3   40   32   93    2
79  1.5050231 1.1643529 0.21978022    2   40   33   92    2
131 1.4833664 0.8512583 0.22619048    3   40   34   91    2
38  1.5121187 0.3010300 0.23076923    2   40   35   90    2
88  1.4961084 1.5263393 0.25000000    3   40   36   89    2
2   1.5096238 2.5375673 0.25742574    1   39   37   88    3
5   1.5028302 1.7767012 0.25742574    1   39   37   88    3
27  1.5240912 0.7993405 0.27722772    1   39   38   87    3
87  1.5623105 1.6928469 0.28571429    3   39   43   82    3
106 1.6072974 1.4756712 0.28571429    3   39   43   82    3
109 1.5770755 1.3891661 0.28571429    3   39   43   82    3
122 1.5683617 0.9030900 0.28571429    3   39   43   82    3
132 1.6103774 0.3010300 0.28571429    3   39   43   82    3
57  1.5916868 3.3837436 0.29670330    2   38   43   82    4
162 1.6181140 2.1386184 0.30303030    4   38   45   80    4
163 1.5945919 1.6294096 0.30303030    4   38   45   80    4
36  1.5572746 1.5024271 0.31683168    1   38   46   79    4
21  1.5861525 2.6134189 0.32673267    1   37   46   79    5
107 1.6738378 1.3384565 0.34523810    3   37   48   77    5
113 1.6700381 1.5888317 0.34523810    3   37   48   77    5
86  1.7113009 1.5024271 0.35714286    3   36   50   75    6
100 1.6943153 2.7271344 0.35714286    3   36   50   75    6
105 1.7046620 1.3856063 0.35714286    3   36   50   75    6
167 1.6554884 1.7371926 0.39393939    4   36   51   74    6
35  1.6364688 2.2796669 0.40594059    1   36   52   73    6
26  1.6441496 1.1643529 0.41584158    1   36   53   72    6
164 1.7131176 1.6314438 0.42424242    4   36   54   71    6
114 1.7721046 2.2309596 0.42857143    3   36   55   70    6
103 1.7809981 3.2980448 0.44047619    3   35   55   70    7
12  1.6703129 1.1172713 0.44554455    1   35   56   69    7
25  1.6816026 2.1804126 0.45544554    1   35   57   68    7
147 1.7374065 2.0874265 0.46464646    4   35   58   67    7
23  1.6922424 2.1664301 0.46534653    1   35   59   66    7
14  1.7214887 2.0297895 0.47524752    1   35   61   64    7
15  1.7291594 1.8920946 0.47524752    1   35   61   64    7
11  1.7551768 1.3765770 0.50495050    1   35   62   63    7
149 1.7590132 1.8129134 0.50505051    4   34   63   62    8
156 1.7572687 3.1911994 0.50505051    4   34   63   62    8
51  1.7393163 1.6884198 0.50549451    2   34   64   61    8
102 1.8434256 1.2944662 0.51190476    3   34   65   60    8
33  1.7677133 1.3820170 0.51485149    1   34   66   59    8
133 1.8539411 1.5538830 0.52380952    3   34   67   58    8
154 1.7733855 1.4653829 0.53535354    4   34   68   57    8
70  1.7951130 1.8000294 0.53846154    2   34   69   56    8
10  1.7999765 2.5880475 0.54455446    1   33   70   55    9
37  1.8017710 1.7024305 0.54455446    1   33   70   55    9
17  1.8106021 2.4834446 0.55445545    1   32   70   55   10
160 1.8270370 1.0791812 0.56565657    4   32   71   54   10
98  1.8813186 1.5670264 0.57142857    3   32   72   53   10
153 1.8451011 1.5440680 0.57575758    4   32   73   52   10
69  1.8341690 1.6866363 0.58241758    2   32   74   51   10
143 1.8503548 1.6599162 0.58585859    4   32   75   50   10
61  1.8373265 1.9355073 0.59340659    2   31   76   49   11
77  1.8579579 2.6887757 0.59340659    2   31   76   49   11
6   1.8309233 1.5717088 0.60396040    1   31   77   48   11
137 1.8624145 2.3310222 0.60606061    4   31   78   47   11
146 1.8774367 2.5779511 0.61616162    4   30   78   47   12
83  1.9239313 0.4913617 0.61904762    3   29   79   46   13
135 1.9617259 2.7629785 0.61904762    3   29   79   46   13
40  1.8705309 1.6009729 0.62637363    2   29   80   45   13
4   1.8540718 3.2980448 0.63366337    1   28   80   45   14
138 1.9529077 2.4350476 0.67676768    4   27   81   44   15
145 1.9546831 1.5843312 0.67676768    4   27   81   44   15
90  1.9930697 1.5158738 0.67857143    3   27   82   43   15
58  1.9423327 2.3583156 0.68131868    2   27   83   42   15
141 1.9811222 2.0338257 0.68686869    4   27   85   40   15
155 1.9722049 1.2988531 0.68686869    4   27   85   40   15
104 1.9953501 3.3837436 0.69047619    3   26   85   40   16
16  1.9575272 3.3837436 0.69306931    1   25   85   40   17
92  2.0347670 1.9576073 0.70238095    3   25   87   38   17
127 2.0307047 1.4116197 0.70238095    3   25   87   38   17
158 1.9975318 2.8865471 0.70707071    4   24   88   37   18
166 2.0151871 1.8394780 0.70707071    4   24   88   37   18
75  1.9921198 1.9703469 0.72527473    2   24   89   36   18
121 2.0655162 1.3344538 0.73809524    3   24   90   35   18
30  1.9995288 1.6042261 0.74257426    1   24   92   33   18
34  2.0054537 2.2671717 0.74257426    1   24   92   33   18
99  2.0862904 3.3837436 0.75000000    3   23   93   32   19
129 2.0665893 1.3263359 0.75000000    3   23   93   32   19
139 2.0468863 1.7853298 0.75757576    4   23   94   31   19
39  2.0339255 2.3398488 0.78021978    2   23   96   29   19
74  2.0324860 1.9484130 0.78021978    2   23   96   29   19
120 2.1820397 1.7535831 0.79761905    3   23   97   28   19
142 2.1171084 1.2041200 0.79797980    4   23   99   26   19
144 2.1109167 1.7972675 0.79797980    4   23   99   26   19
44  2.0691708 2.0338257 0.80219780    2   23  100   25   19
148 2.1304325 0.4913617 0.80808081    4   23  101   24   19
19  2.1066069 2.2367891 0.81188119    1   22  102   23   20
24  2.0956899 2.8121108 0.81188119    1   22  102   23   20
76  2.1092836 2.0406023 0.82417582    2   22  103   22   20
3   2.1186278 3.3837436 0.83168317    1   21  103   22   21
