# threshold = 1.49254020096244
# Area under ROC curve = 0.542256542256542
# aggregate.tpos = 8
# aggregate.tneg = 90
# aggregate.fpos = 21
# aggregate.fneg = 13
# rocframe: 
    predicted    actual  threshold fold tpos tneg fpos fneg
22  1.3867069 0.3010300 0.00000000    2   14   58   53    7
23  1.3867069 0.0000000 0.00000000    2   14   58   53    7
24  1.3867069 0.0000000 0.00000000    2   14   58   53    7
25  1.3867069 0.0000000 0.00000000    2   14   58   53    7
32  1.3867069 0.8750613 0.00000000    2   14   58   53    7
34  1.3867069 0.0000000 0.00000000    2   14   58   53    7
35  1.3867069 1.0413927 0.00000000    2   14   58   53    7
36  1.3867069 1.2329961 0.00000000    2   14   58   53    7
38  1.3867069 1.4842998 0.00000000    2   14   58   53    7
41  1.3867069 2.4549972 0.00000000    2   14   58   53    7
42  1.3867069 1.1643529 0.00000000    2   14   58   53    7
44  1.3867069 2.4879863 0.00000000    2   14   58   53    7
47  1.3867069 2.5125510 0.00000000    2   14   58   53    7
49  1.3867069 1.6009729 0.00000000    2   14   58   53    7
50  1.3867069 2.2370408 0.00000000    2   14   58   53    7
52  1.3867069 1.1931246 0.00000000    2   14   58   53    7
53  1.3867069 1.3926970 0.00000000    2   14   58   53    7
55  1.3867069 2.7629785 0.00000000    2   14   58   53    7
56  1.3867069 2.1525941 0.00000000    2   14   58   53    7
58  1.3867069 0.7993405 0.00000000    2   14   58   53    7
61  1.3867069 1.0374265 0.00000000    2   14   58   53    7
62  1.3867069 0.9912261 0.00000000    2   14   58   53    7
63  1.3867069 0.8573325 0.00000000    2   14   58   53    7
64  1.3867069 0.6127839 0.00000000    2   14   58   53    7
67  1.3867069 2.0413927 0.00000000    2   14   58   53    7
69  1.3587306 1.9925535 0.00000000    3   14   58   53    7
70  1.3587306 1.9956352 0.00000000    3   14   58   53    7
71  1.3587306 0.8692317 0.00000000    3   14   58   53    7
73  1.3587306 0.0000000 0.00000000    3   14   58   53    7
74  1.3587306 0.0000000 0.00000000    3   14   58   53    7
75  1.3587306 1.1303338 0.00000000    3   14   58   53    7
76  1.3587306 2.9119030 0.00000000    3   14   58   53    7
77  1.3587306 0.4771213 0.00000000    3   14   58   53    7
78  1.3587306 0.3010300 0.00000000    3   14   58   53    7
83  1.3587306 1.9454686 0.00000000    3   14   58   53    7
84  1.3587306 1.5786392 0.00000000    3   14   58   53    7
85  1.3587306 1.2944662 0.00000000    3   14   58   53    7
86  1.3587306 1.1931246 0.00000000    3   14   58   53    7
87  1.3587306 1.3283796 0.00000000    3   14   58   53    7
89  1.3587306 1.6009729 0.00000000    3   14   58   53    7
90  1.3587306 1.7234557 0.00000000    3   14   58   53    7
91  1.3587306 2.2636361 0.00000000    3   14   58   53    7
92  1.3587306 2.0744507 0.00000000    3   14   58   53    7
93  1.3587306 1.9079485 0.00000000    3   14   58   53    7
94  1.3587306 1.8000294 0.00000000    3   14   58   53    7
95  1.3587306 2.0744507 0.00000000    3   14   58   53    7
96  1.3587306 2.4141374 0.00000000    3   14   58   53    7
97  1.3587306 2.4549972 0.00000000    3   14   58   53    7
98  1.3587306 1.9947569 0.00000000    3   14   58   53    7
99  1.3587306 1.8000294 0.00000000    3   14   58   53    7
100 1.3587306 1.2944662 0.00000000    3   14   58   53    7
102 1.3587306 2.1804126 0.00000000    3   14   58   53    7
104 1.3587306 2.1804126 0.00000000    3   14   58   53    7
105 1.3587306 1.2253093 0.00000000    3   14   58   53    7
106 1.3587306 1.3979400 0.00000000    3   14   58   53    7
107 1.3587306 0.4913617 0.00000000    3   14   58   53    7
109 1.3587306 1.5198280 0.00000000    3   14   58   53    7
111 1.3587306 0.7160033 0.00000000    3   14   58   53    7
113 1.3587306 1.5378191 0.00000000    3   14   58   53    7
115 1.3587306 1.5092025 0.00000000    3   14   58   53    7
116 1.3587306 1.2278867 0.00000000    3   14   58   53    7
117 1.3587306 0.7993405 0.00000000    3   14   58   53    7
119 1.3587306 0.3010300 0.00000000    3   14   58   53    7
120 1.3587306 1.3909351 0.00000000    3   14   58   53    7
121 1.3587306 0.9294189 0.00000000    3   14   58   53    7
12  0.8226450 0.9344985 0.08247423    1   14   60   51    7
13  0.8058861 1.1303338 0.08247423    1   14   60   51    7
9   0.9883980 2.0406023 0.16494845    1   14   61   50    7
122 1.1254721 2.5627685 0.16504854    4   13   63   48    8
124 1.1322130 1.4548449 0.16504854    4   13   63   48    8
129 1.1220281 1.3636120 0.16504854    4   13   63   48    8
11  1.0530495 2.7136585 0.24742268    1   12   63   48    9
5   1.0827681 1.2855573 0.26804124    1   12   65   46    9
7   1.0738262 0.0000000 0.26804124    1   12   65   46    9
1   1.1871820 0.6127839 0.30927835    1   12   66   45    9
128 1.2287589 1.8998205 0.31067961    4   12   67   44    9
130 1.2511356 1.2068259 0.32038835    4   12   68   43    9
125 1.3401150 1.6170003 0.46601942    4   12   69   42    9
8   1.3279364 2.6386889 0.50515464    1   11   69   42   10
131 1.4259826 2.7383841 0.57281553    4   10   69   42   11
10  1.4574421 0.0000000 0.59793814    1   10   70   41   11
15  1.5996725 1.1903317 0.61855670    1   10   71   40   11
