# threshold = 2.007358847108
# Area under ROC curve = 0.509172724125995
# aggregate.tpos = 6
# aggregate.tneg = 82
# aggregate.fpos = 25
# aggregate.fneg = 21
# rocframe: 
    predicted    actual  threshold fold tpos tneg fpos fneg
30  0.8726705 0.6127839 0.00000000    2   27    3  104    0
31  1.0092569 1.1303338 0.00000000    2   27    3  104    0
96  0.8411836 1.9469433 0.00000000    3   27    3  104    0
26  1.2224704 1.7767012 0.03174603    2   27    5  102    0
32  1.2369910 1.2576786 0.03174603    2   27    5  102    0
25  1.2927622 2.0338257 0.04761905    2   27    7  100    0
40  1.2822411 0.9912261 0.04761905    2   27    7  100    0
45  1.4090373 1.5024271 0.11111111    2   27    8   99    0
44  1.4503156 0.9777236 0.15873016    2   27    9   98    0
28  1.5101491 1.7566361 0.19047619    2   26   11   96    1
38  1.4759919 1.5728716 0.19047619    2   26   11   96    1
43  1.4834304 2.6386889 0.19047619    2   26   11   96    1
24  1.5350862 3.3837436 0.20634921    2   25   12   95    2
42  1.5395192 0.7160033 0.20634921    2   25   12   95    2
33  1.5710184 1.5899496 0.22222222    2   25   13   94    2
127 1.5793684 1.7520484 0.25000000    4   25   14   93    2
50  1.6239134 1.5263393 0.26984127    2   25   15   92    2
94  1.3848353 1.5717088 0.27536232    3   24   17   90    3
95  1.3909749 2.5880475 0.27536232    3   24   17   90    3
117 1.3757577 1.9344985 0.27536232    3   24   17   90    3
23  1.6546932 2.5627685 0.28571429    2   23   18   89    4
41  1.6458276 2.1051694 0.28571429    2   23   18   89    4
46  1.7099244 2.2866810 0.30158730    2   23   19   88    4
75  1.4304680 1.1271048 0.30434783    3   21   22   85    6
89  1.4204938 2.2671717 0.30434783    3   21   22   85    6
118 1.4306764 1.1986571 0.30434783    3   21   22   85    6
123 1.4529362 2.9641653 0.30434783    3   21   22   85    6
124 1.4514690 2.3960249 0.30434783    3   21   22   85    6
93  1.4954866 2.6740340 0.31884058    3   20   22   85    7
27  1.7307066 2.0318123 0.33333333    2   20   24   83    7
53  1.7344753 1.1613680 0.33333333    2   20   24   83    7
102 1.5228072 2.1251558 0.34782609    3   20   25   82    7
49  1.7784278 1.6551384 0.34920635    2   20   27   80    7
63  1.7427388 1.6963564 0.34920635    2   20   27   80    7
132 1.6829187 1.5899496 0.35000000    4   20   28   79    7
20  1.8267762 2.1251558 0.37078652    1   20   29   78    7
51  1.7891417 3.3837436 0.38095238    2   19   29   78    8
76  1.5503580 1.3710679 0.39130435    3   18   30   77    9
113 1.5490350 2.9119030 0.39130435    3   18   30   77    9
65  1.8006865 1.0374265 0.39682540    2   18   31   76    9
131 1.7220617 2.1664301 0.40000000    4   18   32   75    9
39  1.8310506 1.7024305 0.41269841    2   18   33   74    9
74  1.5763705 1.3483049 0.42028986    3   18   34   73    9
114 1.6327317 1.6444386 0.44927536    3   18   35   72    9
1   1.8958822 1.0755470 0.46067416    1   18   36   71    9
79  1.6492131 1.9365137 0.46376812    3   18   37   70    9
2   1.8983674 1.3856063 0.47191011    1   18   38   69    9
57  1.8636667 1.3856063 0.47619048    2   18   40   67    9
69  1.8597497 1.8382192 0.47619048    2   18   40   67    9
56  1.8717414 1.3344538 0.49206349    2   18   41   66    9
3   1.9127355 1.8773713 0.49438202    1   18   42   65    9
97  1.6901039 1.7299743 0.50724638    3   18   44   63    9
116 1.6813983 1.7795965 0.50724638    3   18   44   63    9
55  1.8979326 2.1664301 0.50793651    2   18   46   61    9
62  1.8971935 1.3031961 0.50793651    2   18   46   61    9
126 1.8040992 2.2695129 0.51000000    4   18   47   60    9
11  1.9411457 1.6954817 0.51685393    1   18   48   59    9
106 1.7031021 2.9914033 0.52173913    3   17   48   59   10
128 1.8324231 1.4456042 0.55000000    4   16   49   58   11
133 1.8400787 2.4401216 0.55000000    4   16   49   58   11
15  1.9464421 1.4785665 0.55056180    1   16   50   57   11
92  1.7352635 2.6134189 0.55072464    3   14   50   57   13
122 1.7850695 2.4549972 0.55072464    3   14   50   57   13
130 1.8759048 2.9119030 0.57000000    4   13   50   57   14
60  1.9486104 1.6821451 0.57142857    2   13   51   56   14
7   1.9730143 2.0318123 0.58426966    1   13   52   55   14
5   1.9841980 0.9344985 0.60674157    1   13   55   52   14
6   1.9917697 2.3147097 0.60674157    1   13   55   52   14
14  1.9870062 1.6812412 0.60674157    1   13   55   52   14
77  1.8465342 0.9242793 0.60869565    3   13   57   50   14
80  1.8548506 0.8750613 0.60869565    3   13   57   50   14
125 1.9143301 1.7767012 0.62000000    4   13   58   49   14
47  1.9875092 1.8802418 0.63492063    2   13   59   48   14
129 1.9526357 1.9454686 0.65000000    4   13   60   47   14
66  1.9986993 2.0195317 0.65079365    2   13   61   46   14
78  1.8960502 1.1205739 0.65217391    3   12   62   45   15
120 1.8995464 2.4879863 0.65217391    3   12   62   45   15
134 1.9889738 2.9914033 0.69000000    4   11   62   45   16
105 1.9215714 2.5880475 0.69565217    3   10   62   45   17
68  2.0264962 1.3820170 0.69841270    2   10   63   44   17
119 1.9370301 2.1945143 0.71014493    3   10   64   43   17
29  2.0503627 1.5327544 0.71428571    2   10   67   40   17
52  2.0610537 1.3010300 0.71428571    2   10   67   40   17
70  2.0357620 1.2068259 0.71428571    2   10   67   40   17
10  2.0374492 0.7993405 0.71910112    1   10   68   39   17
115 1.9487289 2.2516382 0.72463768    3    9   69   38   18
121 1.9713195 3.1911994 0.72463768    3    9   69   38   18
111 1.9870099 2.0461048 0.73913043    3    9   70   37   18
34  2.1122246 2.0652061 0.74603175    2    9   72   35   18
67  2.1453874 1.9822712 0.74603175    2    9   72   35   18
13  2.0573363 1.4456042 0.75280899    1    9   73   34   18
81  1.9976776 1.7795965 0.75362319    3    9   74   33   18
4   2.0615617 2.9914033 0.77528090    1    7   74   33   20
21  2.0607052 2.7383841 0.77528090    1    7   74   33   20
103 2.0385480 1.7923917 0.79710145    3    7   75   32   20
9   2.0652547 1.7581546 0.79775281    1    7   76   31   20
87  2.0547634 2.1711412 0.81159420    3    7   77   30   20
101 2.0731624 2.3109056 0.82608696    3    7   78   29   20
86  2.0772231 2.5627685 0.84057971    3    6   78   29   21
35  2.2675046 2.3040595 0.84126984    2    6   80   27   21
64  2.2597733 1.7715875 0.84126984    2    6   80   27   21
88  2.1502891 1.5728716 0.85507246    3    6   84   23   21
98  2.1731413 1.6665180 0.85507246    3    6   84   23   21
108 2.1214818 2.1711412 0.85507246    3    6   84   23   21
112 2.0944923 0.3010300 0.85507246    3    6   84   23   21
82  2.2108302 2.2652896 0.86956522    3    6   85   22   21
58  2.3686235 2.2913689 0.88888889    2    6   87   20   21
59  2.3480345 1.4548449 0.88888889    2    6   87   20   21
90  2.2637721 1.1643529 0.91304348    3    6   88   19   21
16  2.1246364 3.1503265 0.92134831    1    4   88   19   23
18  2.1217039 2.7629785 0.92134831    1    4   88   19   23
8   2.1672015 1.5611014 0.93258427    1    4   93   14   23
12  2.1851143 1.8344207 0.93258427    1    4   93   14   23
17  2.1443115 2.1525941 0.93258427    1    4   93   14   23
19  2.1884690 2.0060380 0.93258427    1    4   93   14   23
22  2.1355527 2.0557605 0.93258427    1    4   93   14   23
54  2.4655060 2.1752218 0.93650794    2    4   94   13   23
37  2.6857231 2.1664301 0.96825397    2    4   97   10   23
48  2.6155749 0.3010300 0.96825397    2    4   97   10   23
61  2.7097751 2.1142773 0.96825397    2    4   97   10   23
73  2.6527975 2.4879863 0.98550725    3    2  103    4   25
85  2.6688866 2.1504494 0.98550725    3    2  103    4   25
91  2.4476235 2.0195317 0.98550725    3    2  103    4   25
99  2.5967127 3.2387735 0.98550725    3    2  103    4   25
100 2.3929393 2.2367891 0.98550725    3    2  103    4   25
107 2.5416608 1.9947569 0.98550725    3    2  103    4   25
109 2.5454295 2.3310222 0.98550725    3    2  103    4   25
110 2.4548473 1.7291648 0.98550725    3    2  103    4   25
36  2.9738331 2.0182843 1.00000000    2    0  107    0   27
71  3.3574995 2.2360331 1.00000000    3    0  107    0   27
72  3.5730661 2.3900515 1.00000000    3    0  107    0   27
83  3.0288064 1.5024271 1.00000000    3    0  107    0   27
84  4.1678050 3.1138431 1.00000000    3    0  107    0   27
104 2.9592326 2.3040595 1.00000000    3    0  107    0   27
# predperf: 
  tpos tneg fpos fneg
1    2   12    6    2
2    0   35    9    4
3    4   28   10   12
4    0    7    0    3
