# Seed = 985
# Site = kreher
# Method = gbm
# Area under ROC curve = 0.71986271986272
# aggregate.tpos = 11
# aggregate.tneg = 84
# aggregate.fpos = 27
# aggregate.fneg = 10
# variables: beach_Sc, beach_WaterTemp, beach_AirTemp, trib_BayCityCreekAtHwy204026368_TribSc, beach_LakeshoreCurrVel, beach_NoGeese, beach_NoGulls, beach_PeopleInWater, beach_PeopleOnBeach, beach_WaveHeightManual, Whittlesey_Discharge_Diff_6, HeightAboveSeaLevel_Mean_1, HeightAboveSeaLevel_Mean_2, HeightAboveSeaLevel_Mean_6, HeightAboveSeaLevel_Mean_12, HeightAboveSeaLevel_Mean_24, HeightAboveSeaLevel_Diff_24, AirTemperature_Mean_1, AirTemperature_Mean_2, AirTemperature_Mean_6, AirTemperature_Mean_12, AirTemperature_Mean_24, AirTemperature_Mean_48, AirTemperature_Mean_72, AirTemperature_Mean_120, CloudCover_Mean_1, CloudCover_Mean_2, CloudCover_Mean_6, CloudCover_Mean_12, CloudCover_Mean_24, Wind_Mean_1_perp, Wind_Mean_2_perp, Wind_Mean_6_perp, Wind_Mean_12_perp, Wind_Mean_24_perp, Wind_Mean_1_par, Wind_Mean_2_par, Wind_Mean_6_par, Wind_Mean_12_par, Wind_Mean_24_par, AirTemperature_StDev_2, AirTemperature_StDev_6, AirTemperature_StDev_12, AirTemperature_StDev_24, AirTemperature_StDev_48, AirTemperature_StDev_72, AirTemperature_StDev_120, Sqrt.Precipitation.over.upload.kreher.Sum..1hr, Sqrt.Precipitation.over.upload.kreher.Sum..2hr, Sqrt.Precipitation.over.upload.kreher.Sum..6hr, Sqrt.Precipitation.over.upload.kreher.Sum..12hr, Sqrt.Precipitation.over.upload.kreher.Sum..24hr, Sqrt.Precipitation.over.upload.kreher.Sum..48hr, Sqrt.Precipitation.over.upload.kreher.Sum..72hr, Sqrt.Precipitation.over.upload.kreher.Sum..120hr, Sqrt.Precipitation.over.upload.maslowski.Sum..1hr, Sqrt.Precipitation.over.upload.maslowski.Sum..2hr, Sqrt.Precipitation.over.upload.maslowski.Sum..6hr, Sqrt.Precipitation.over.upload.maslowski.Sum..12hr, Sqrt.Precipitation.over.upload.maslowski.Sum..24hr, Sqrt.Precipitation.over.upload.maslowski.Sum..48hr, Sqrt.Precipitation.over.upload.maslowski.Sum..72hr, Sqrt.Precipitation.over.upload.maslowski.Sum..120hr, Sqrt.Whittlesey_ARF_Sum_1, Sqrt.Whittlesey_ARF_Sum_2, Sqrt.Whittlesey_ARF_Sum_6, Sqrt.Whittlesey_ARF_Sum_12, Sqrt.Whittlesey_ARF_Sum_24, Sqrt.Whittlesey_ARF_Sum_48, Sqrt.Whittlesey_ARF_Sum_72, Sqrt.Whittlesey_ARF_Sum_120, log.Whittlesey_Discharge_Mean_1, log.Whittlesey_Discharge_Mean_2, log.Whittlesey_Discharge_Mean_6, log.Whittlesey_Discharge_Mean_12, log.Whittlesey_Discharge_Mean_24, log.Whittlesey_Discharge_Mean_48, log.Whittlesey_Discharge_Mean_72, log.Whittlesey_Discharge_Mean_120, log.Whittlesey_Discharge_Min_1, log.Whittlesey_Discharge_Min_2, log.Whittlesey_Discharge_Min_6, log.Whittlesey_Discharge_Min_12, log.Whittlesey_Discharge_Min_24, log.Whittlesey_Discharge_Min_48, log.Whittlesey_Discharge_Min_72, log.Whittlesey_Discharge_Min_120, log.Whittlesey_Discharge_Max_24, beach_AlgaeNearshore2, beach_AlgaeNearshore3, beach_AlgaeOnBeach2, beach_AlgaeOnBeach3, beach_AlgaeOnBeach4, yday, log.beach_TurbidityBeach, beach_WindVector_perp, beach_WindVector_parl
# thresholding specificity: 0.736363636363636
# decision threshold: 1.63238456832827
# full results: 
    predicted    actual  threshold fold tpos tneg fpos fneg
25  0.1786679 0.0000000 0.03636364   25   21    1  110    0
24  0.4609743 0.0000000 0.06363636   24   21    2  109    0
74  0.4832955 0.0000000 0.09090909   74   21    3  108    0
34  0.7168480 0.0000000 0.10000000   34   21    4  107    0
26  0.6281229 0.3010300 0.10909091   26   21    5  106    0
77  1.0241381 0.4771213 0.12727273   77   21    6  105    0
72  0.7115178 0.3010300 0.13636364   72   21    7  104    0
22  0.6867214 0.3010300 0.15454545   22   21    8  103    0
73  0.7556696 0.0000000 0.16363636   73   21    9  102    0
27  0.6813868 0.7160033 0.18181818   27   21   10  101    0
20  0.8669315 1.9698816 0.23636364   20   21   11  100    0
9   0.9318175 2.0406023 0.28181818    9   21   13   98    0
71  1.0305182 0.8692317 0.28181818   71   21   13   98    0
35  1.0113498 1.0413927 0.29090909   35   21   14   97    0
75  1.0474522 1.1303338 0.30000000   75   21   16   95    0
120 1.0340294 1.3909351 0.30000000  120   21   16   95    0
64  1.1442833 0.6127839 0.30909091   64   21   17   94    0
56  1.0291600 2.1525941 0.32727273   56   21   18   93    0
11  1.1438157 2.7136585 0.35135135   11   20   18   93    1
13  1.1279027 1.1303338 0.35454545   13   20   21   90    1
37  1.1339168 0.6127839 0.35454545   37   20   21   90    1
52  1.0950251 1.1931246 0.35454545   52   20   21   90    1
44  1.1441125 2.4879863 0.36036036   44   19   21   90    2
128 1.1243490 1.8998205 0.36363636  128   19   22   89    2
12  1.1990780 0.9344985 0.37272727   12   19   27   84    2
32  1.2042277 0.8750613 0.37272727   32   19   27   84    2
61  1.2250207 1.0374265 0.37272727   61   19   27   84    2
111 1.1645930 0.7160033 0.37272727  111   19   27   84    2
124 1.1430849 1.4548449 0.37272727  124   19   27   84    2
117 1.1750325 0.7993405 0.38181818  117   19   29   82    2
130 1.1545838 1.2068259 0.38181818  130   19   29   82    2
87  1.1820830 1.3283796 0.39090909   87   19   30   81    2
107 1.2144501 0.4913617 0.40909091  107   19   33   78    2
113 1.2694707 1.5378191 0.40909091  113   19   33   78    2
115 1.2177400 1.5092025 0.40909091  115   19   33   78    2
36  1.3086096 1.2329961 0.41818182   36   19   36   75    2
67  1.2006115 2.0413927 0.41818182   67   19   36   75    2
116 1.3208213 1.2278867 0.41818182  116   19   36   75    2
63  1.2334367 0.8573325 0.42727273   63   19   37   74    2
2   1.2805687 0.6127839 0.43636364    1   19   39   72    2
39  1.2597401 2.1504494 0.43636364   39   19   39   72    2
84  1.2450406 1.5786392 0.44545455   84   19   41   70    2
103 1.2629219 2.0182843 0.44545455  103   19   41   70    2
48  1.3110954 0.7993405 0.45454545   48   19   42   69    2
33  1.3369729 1.2068259 0.46363636   33   19   46   65    2
38  1.3249370 1.4842998 0.46363636   38   19   46   65    2
110 1.3397766 1.1613680 0.46363636  110   19   46   65    2
121 1.3368786 0.9294189 0.46363636  121   19   46   65    2
76  1.3437756 2.9119030 0.46846847   76   18   46   65    3
104 1.3323860 2.1804126 0.47272727  104   18   47   64    3
62  1.3688435 0.9912261 0.49090909   62   18   49   62    3
125 1.3552738 1.6170003 0.49090909  125   18   49   62    3
53  1.3650652 1.3926970 0.50909091   53   18   51   60    3
65  1.3566091 1.4393327 0.50909091   65   18   51   60    3
8   1.3936135 2.6386889 0.51351351    8   17   51   60    4
16  1.4230990 0.9242793 0.51818182   16   17   52   59    4
79  1.3800518 2.9377184 0.53153153   79   16   52   59    5
119 1.4004223 0.3010300 0.53636364  119   16   53   58    5
85  1.4368883 1.2944662 0.54545455   85   16   54   57    5
6   1.4159180 1.5888317 0.55454545    6   16   55   56    5
78  1.4620490 0.3010300 0.56363636   78   16   56   55    5
93  1.4175418 1.9079485 0.57272727   93   16   57   54    5
45  1.4765588 2.2367891 0.59090909   45   16   59   52    5
129 1.4903153 1.3636120 0.59090909  129   16   59   52    5
28  1.4727629 2.8615344 0.59459459   28   15   59   52    6
58  1.4966028 0.7993405 0.60000000   58   15   61   50    6
94  1.4798661 1.8000294 0.60000000   94   15   61   50    6
109 1.5111457 1.5198280 0.60909091  109   15   62   49    6
100 1.5697340 1.2944662 0.63636364  100   15   64   47    6
105 1.5655346 1.2253093 0.63636364  105   15   64   47    6
15  1.6091688 1.1903317 0.65454545   15   15   67   44    6
59  1.6129317 1.5658478 0.65454545   59   15   67   44    6
91  1.5839242 2.2636361 0.65454545   91   15   67   44    6
211 1.6401245 0.7993405 0.66363636   21   15   71   40    6
43  1.6194850 0.7160033 0.66363636   43   15   71   40    6
49  1.6494650 1.6009729 0.66363636   49   15   71   40    6
108 1.6449401 1.3765770 0.66363636  108   15   71   40    6
97  1.6264326 2.4549972 0.66666667   97   14   71   40    7
7   1.6501287 0.0000000 0.67272727    7   14   73   38    7
106 1.6694677 1.3979400 0.67272727  106   14   73   38    7
92  1.6420339 2.0744507 0.68181818   92   14   74   37    7
122 1.6404414 2.5627685 0.68468468  122   13   74   37    8
5   1.6979009 1.2855573 0.69090909    5   13   75   36    8
10  1.7121630 0.0000000 0.70000000   10   13   76   35    8
17  1.7307976 1.7024305 0.70909091   17   13   79   32    8
23  1.6951110 0.0000000 0.70909091   23   13   79   32    8
99  1.7036470 1.8000294 0.70909091   99   13   79   32    8
41  1.6949743 2.4549972 0.71171171   41   12   79   32    9
42  1.7253187 1.1643529 0.71818182   42   12   81   30    9
112 1.7782157 0.7993405 0.71818182  112   12   81   30    9
66  1.7706377 2.8615344 0.72072072   66   11   81   30   10
60  1.7700556 1.7795965 0.72727273   60   11   83   28   10
83  1.7253099 1.9454686 0.72727273   83   11   83   28   10
95  1.7387964 2.0744507 0.73636364   95   11   84   27   10
47  1.7108484 2.5125510 0.73873874   47   10   84   27   11
70  1.7689092 1.9956352 0.74545455   70   10   85   26   11
123 1.8066794 1.6294096 0.76363636  123   10   86   25   11
86  1.7856560 1.1931246 0.77272727   86   10   87   24   11
126 1.8504988 2.9914033 0.77477477  126    9   87   24   12
69  1.8073647 1.9925535 0.79090909   69    9   91   20   12
88  1.8488708 2.2372923 0.79090909   88    9   91   20   12
114 1.8849167 1.1303338 0.79090909  114    9   91   20   12
127 1.8340480 1.8970770 0.79090909  127    9   91   20   12
40  1.7863386 0.3010300 0.80000000   40    9   92   19   12
55  1.9143662 2.7629785 0.81081081   55    8   92   19   13
46  1.9228336 2.3529539 0.81818182   46    8   93   18   13
132 1.9004452 1.9813655 0.82727273  132    8   94   17   13
82  1.9415600 1.9454686 0.83636364   82    8   95   16   13
118 1.8562919 1.4842998 0.84545455  118    8   96   15   13
68  1.9871064 1.6106602 0.89090909   68    8   97   14   13
131 2.0203227 2.7383841 0.89189189  131    7   97   14   14
51  2.0427993 1.5854607 0.90000000   51    7   99   12   14
89  2.0547988 1.6009729 0.90000000   89    7   99   12   14
54  2.0431403 1.4955443 0.90909091   54    7  100   11   14
4   1.9665725 2.1316187 0.92727273    4    7  107    4   14
19  2.0327051 1.9464523 0.92727273   19    7  107    4   14
50  2.0845335 2.2370408 0.92727273   50    7  107    4   14
57  2.1201333 0.8692317 0.92727273   57    7  107    4   14
81  2.0614396 2.0437551 0.92727273   81    7  107    4   14
