# threshold = 2.3041259360253
# Area under ROC curve = 0.774613899613899
# aggregate.tpos = 7
# aggregate.tneg = 126
# aggregate.fpos = 22
# aggregate.fneg = 7
# rocframe: 
    predicted    actual  threshold fold tpos tneg fpos fneg
122 0.2140632 0.0000000 0.00000000    3   14    1  147    0
124 0.6253154 1.2329961 0.01075269    3   14    2  146    0
77  0.7812790 1.0334238 0.02150538    3   14    7  141    0
88  0.8941641 0.9542425 0.02150538    3   14    7  141    0
90  0.8429768 1.4756712 0.02150538    3   14    7  141    0
118 0.7898337 0.8633229 0.02150538    3   14    7  141    0
123 0.8491604 1.5550944 0.02150538    3   14    7  141    0
138 0.8800307 0.4771213 0.05932203    4   14    8  140    0
57  1.0207037 0.7075702 0.08181818    2   14   10  138    0
63  1.0265630 1.7737864 0.08181818    2   14   10  138    0
71  1.0140418 1.6063814 0.10752688    3   14   11  137    0
43  1.0859653 0.7993405 0.10909091    2   14   14  134    0
44  1.0859113 0.7160033 0.10909091    2   14   14  134    0
56  1.0829675 1.8175654 0.10909091    2   14   14  134    0
96  1.0237453 1.5809250 0.11827957    3   14   15  133    0
70  1.0648949 1.5145478 0.12903226    3   14   17  131    0
91  1.0771938 0.9344985 0.12903226    3   14   17  131    0
126 1.0479743 0.6127839 0.13559322    4   14   18  130    0
46  1.1087583 0.7993405 0.14545455    2   14   20  128    0
62  1.1213445 1.7355989 0.14545455    2   14   20  128    0
75  1.0950965 0.9242793 0.15053763    3   14   22  126    0
109 1.0975379 0.0000000 0.15053763    3   14   22  126    0
137 1.0679361 1.7092700 0.15254237    4   14   23  125    0
41  1.1864566 1.1643529 0.16363636    2   14   25  123    0
66  1.1728753 1.4440448 0.16363636    2   14   25  123    0
3   1.0472769 1.1398791 0.17073171    1   14   26  122    0
30  1.2072714 0.7075702 0.19090909    2   14   28  120    0
61  1.1968120 1.7795965 0.19090909    2   14   28  120    0
160 1.1075404 2.9377184 0.20338983    4   13   28  120    1
97  1.1701503 1.4297523 0.22580645    3   13   29  119    1
17  1.1038865 1.6730209 0.23577236    1   13   30  118    1
85  1.2433268 0.7993405 0.27956989    3   13   31  117    1
65  1.2877560 1.3483049 0.28181818    2   13   32  116    1
16  1.1364208 1.6201361 0.28455285    1   13   33  115    1
83  1.2506008 0.9777236 0.29032258    3   13   34  114    1
58  1.2978121 1.0791812 0.30000000    2   13   35  113    1
15  1.1844627 1.3820170 0.30894309    1   13   37  111    1
23  1.1871839 0.0000000 0.30894309    1   13   37  111    1
42  1.3022075 0.7923917 0.31818182    2   13   38  110    1
31  1.3377052 0.0000000 0.32727273    2   13   41  107    1
59  1.3432344 1.6444386 0.32727273    2   13   41  107    1
60  1.3300100 1.4593925 0.32727273    2   13   41  107    1
52  1.3453480 0.4771213 0.33636364    2   13   42  106    1
72  1.3335965 0.7160033 0.36559140    3   13   44  104    1
110 1.3322966 1.4593925 0.36559140    3   13   44  104    1
127 1.2697604 1.0334238 0.38983051    4   13   46  102    1
132 1.2691748 2.2195845 0.38983051    4   13   46  102    1
5   1.2459814 1.5378191 0.39024390    1   13   47  101    1
29  1.3649085 0.6127839 0.39090909    2   13   49   99    1
45  1.3652292 1.6384893 0.39090909    2   13   49   99    1
151 1.2789479 0.3010300 0.39830508    4   13   50   98    1
78  1.3964409 0.3010300 0.41935484    3   13   51   97    1
37  1.3847682 2.0437551 0.42727273    2   13   53   95    1
51  1.3921142 2.1711412 0.42727273    2   13   53   95    1
76  1.4032743 0.8692317 0.45161290    3   13   54   94    1
98  1.4081965 1.9355073 0.46236559    3   13   55   93    1
67  1.4649387 1.1335389 0.46363636    2   13   56   92    1
26  1.4680700 1.1271048 0.47272727    2   13   59   89    1
28  1.4674680 1.4456042 0.47272727    2   13   59   89    1
50  1.4715401 1.0755470 0.47272727    2   13   59   89    1
136 1.3131185 1.0334238 0.47457627    4   13   61   87    1
153 1.3130459 1.2329961 0.47457627    4   13   61   87    1
19  1.3500922 1.3856063 0.50406504    1   13   62   86    1
87  1.4269791 1.2430380 0.50537634    3   13   63   85    1
135 1.3573314 0.6127839 0.50847458    4   13   64   84    1
32  1.5125485 2.8367670 0.54545455    2   12   65   83    2
54  1.5074621 0.4913617 0.54545455    2   12   65   83    2
82  1.4587346 1.5378191 0.54838710    3   12   67   81    2
86  1.4601662 1.0791812 0.54838710    3   12   67   81    2
74  1.4700856 1.2900346 0.58064516    3   12   69   79    2
115 1.4756729 1.0863598 0.58064516    3   12   69   79    2
2   1.4486446 1.2671717 0.58536585    1   12   70   78    2
117 1.4869183 1.0791812 0.59139785    3   12   72   76    2
119 1.5010162 0.8512583 0.59139785    3   12   72   76    2
39  1.5244520 1.2041200 0.60000000    2   12   73   75    2
22  1.4724660 1.8088859 0.60162602    1   12   74   74    2
142 1.4221990 1.5092025 0.60169492    4   12   75   73    2
108 1.5059412 1.1702617 0.60215054    3   12   76   72    2
13  1.4910439 1.4232459 0.63414634    1   12   77   71    2
144 1.4380544 0.8750613 0.63559322    4   12   78   70    2
105 1.5927056 1.9169800 0.66666667    3   12   79   69    2
134 1.4564172 1.6106602 0.67796610    4   12   81   67    2
158 1.4576119 1.5211381 0.67796610    4   12   81   67    2
143 1.4794867 1.0863598 0.68644068    4   12   82   66    2
9   1.5328216 1.7846173 0.69105691    1   12   83   65    2
84  1.6411556 1.9319661 0.70967742    3   12   85   63    2
92  1.6395241 0.9822712 0.70967742    3   12   85   63    2
69  1.6832977 1.3891661 0.72043011    3   12   89   59    2
73  1.6692120 1.4593925 0.72043011    3   12   89   59    2
89  1.7121258 2.2159018 0.72043011    3   12   89   59    2
101 1.6516017 1.3820170 0.72043011    3   12   89   59    2
131 1.5455431 1.2041200 0.73728814    4   12   90   58    2
10  1.6242076 2.2652896 0.73983740    1   12   92   56    2
25  1.6104617 1.2329961 0.73983740    1   12   92   56    2
95  1.7438670 1.5550944 0.74193548    3   12   93   55    2
125 1.5728550 1.3909351 0.75423729    4   11   94   54    3
133 1.5741723 3.2980448 0.75423729    4   11   94   54    3
149 1.5917675 0.7923917 0.77118644    4   11   95   53    3
40  1.6338758 1.5105450 0.77272727    2   11   96   52    3
6   1.6671712 1.9036325 0.78048780    1   11  100   48    3
14  1.6915622 1.1613680 0.78048780    1   11  100   48    3
18  1.6710309 2.1126050 0.78048780    1   11  100   48    3
24  1.6917443 1.8469553 0.78048780    1   11  100   48    3
27  1.6651709 1.9057959 0.78181818    2   11  101   47    3
106 1.7966999 0.6127839 0.78494624    3   11  102   46    3
145 1.6257656 1.2278867 0.78813559    4   11  103   45    3
1   1.7041710 1.6170003 0.78861789    1   11  105   43    3
8   1.7067942 0.6127839 0.78861789    1   11  105   43    3
53  1.6755018 1.4785665 0.79090909    2   11  106   42    3
20  1.7481831 2.0413927 0.80487805    1   11  107   41    3
94  1.8644067 1.6599162 0.81720430    3   11  109   39    3
120 1.8644304 1.5211381 0.81720430    3   11  109   39    3
157 1.6768470 1.8773713 0.83050847    4   11  110   38    3
104 1.8963116 1.1643529 0.83870968    3   11  113   35    3
114 1.9291922 1.5440680 0.83870968    3   11  113   35    3
121 1.9317308 1.7693773 0.83870968    3   11  113   35    3
11  1.8552264 1.8680564 0.85365854    1   11  115   33    3
21  1.9009595 1.9484130 0.85365854    1   11  115   33    3
141 1.7670282 3.2980448 0.85593220    4   10  116   32    4
148 1.7536167 2.0195317 0.85593220    4   10  116   32    4
36  1.7471074 2.7875313 0.86363636    2    9  116   32    5
103 1.9466223 1.4345689 0.87096774    3    9  118   30    5
111 1.9470880 1.5378191 0.87096774    3    9  118   30    5
38  1.7828273 2.4549972 0.87272727    2    8  118   30    6
159 1.7970508 1.6532125 0.87288136    4    8  119   29    6
33  1.8083048 1.2988531 0.88181818    2    8  121   27    6
64  1.7971631 0.9867717 0.88181818    2    8  121   27    6
146 1.8317451 1.2278867 0.88983051    4    7  122   26    7
147 1.8240288 2.3727279 0.88983051    4    7  122   26    7
34  1.8453378 3.1138431 0.89090909    2    6  123   25    8
35  1.8175205 2.0726175 0.89090909    2    6  123   25    8
79  2.0332899 0.0000000 0.90322581    3    6  124   24    8
48  1.8806603 2.3232521 0.90909091    2    6  125   23    8
128 1.9466343 1.8175654 0.92372881    4    5  126   22    9
130 1.9485403 2.6637951 0.92372881    4    5  126   22    9
93  2.0897521 1.1986571 0.92473118    3    5  127   21    9
47  1.9929614 1.8920946 0.92727273    2    5  128   20    9
139 2.0503250 1.9474337 0.93220339    4    5  131   17    9
152 2.0378780 1.8432328 0.93220339    4    5  131   17    9
161 2.0477122 1.8920946 0.93220339    4    5  131   17    9
100 2.1499155 1.2944662 0.93548387    3    5  132   16    9
129 2.1020604 2.1711412 0.94067797    4    4  134   14   10
140 2.1239552 1.4393327 0.94067797    4    4  134   14   10
150 2.1333294 2.8865471 0.94067797    4    4  134   14   10
49  2.0677937 1.7226339 0.94545455    2    4  135   13   10
156 2.1515400 2.0744507 0.94915254    4    4  137   11   10
162 2.1684697 1.3944517 0.94915254    4    4  137   11   10
7   2.2615640 1.0374265 0.95121951    1    4  138   10   10
68  2.1519067 1.7505084 0.96363636    2    4  139    9   10
12  2.3030084 1.9947569 0.96747967    1    4  140    8   10
55  2.2516133 2.9914033 0.97272727    2    3  140    8   11
81  2.4714975 1.5145478 0.97849462    3    3  143    5   11
107 2.3757305 0.9867717 0.97849462    3    3  143    5   11
113 2.4046270 2.1126050 0.97849462    3    3  143    5   11
154 2.3925083 3.3837436 0.98305085    4    1  143    5   13
155 2.3137268 2.9377184 0.98305085    4    1  143    5   13
99  2.5834896 2.3529539 0.98924731    3    1  145    3   13
112 2.5572477 2.1598678 0.98924731    3    1  145    3   13
4   2.9996490 2.0759118 1.00000000    1    0  148    0   14
80  2.8756318 2.1139434 1.00000000    3    0  148    0   14
102 3.2892168 2.9377184 1.00000000    3    0  148    0   14
116 3.2102891 2.3529539 1.00000000    3    0  148    0   14
# predperf: 
  tpos tneg fpos fneg
1    0   22    3    0
2    4   28   10    1
3    1   46    9    0
4    2   30    0    6
