# Seed = 985
# Site = kreher
# Method = spls
# Area under ROC curve = 0.524667524667525
# aggregate.tpos = 11
# aggregate.tneg = 55
# aggregate.fpos = 56
# aggregate.fneg = 10
# variables: trib_BayCityCreekAtHwy204026368_TribSc, AirTemperature_Mean_12, AirTemperature_Mean_24, AirTemperature_Mean_48, AirTemperature_Mean_72, AirTemperature_Mean_120, Wind_Mean_1_perp, Wind_Mean_2_perp, Wind_Mean_6_perp, Wind_Mean_12_perp, AirTemperature_StDev_6, Sqrt.Whittlesey_ARF_Sum_24, log.beach_TurbidityBeach
# thresholding specificity: 0.472727272727273
# decision threshold: 1.38689935727587
# full results: 
    predicted    actual   threshold fold tpos tneg fpos fneg
24  0.7447452 0.0000000 0.000000000   24   21    1  110    0
11  0.6993142 2.7136585 0.009009009   11   20    1  110    1
25  0.6158247 0.0000000 0.009090909   25   20    2  109    1
26  0.8366639 0.3010300 0.018181818   26   20    3  108    1
20  0.8668491 1.9698816 0.027272727   20   20    5  106    1
77  0.9818192 0.4771213 0.027272727   77   20    5  106    1
65  0.9937695 1.4393327 0.045454545   65   20    6  105    1
70  0.9979618 1.9956352 0.054545455   70   20    7  104    1
71  1.0613356 0.8692317 0.072727273   71   20    8  103    1
28  1.0182046 2.8615344 0.090090090   28   19    8  103    2
34  1.0843703 0.0000000 0.090909091   34   19   10  101    2
68  1.0518836 1.6106602 0.090909091   68   19   10  101    2
83  1.0659094 1.9454686 0.100000000   83   19   11  100    2
13  1.1720894 1.1303338 0.109090909   13   19   12   99    2
19  1.0958901 1.9464523 0.118181818   19   19   13   98    2
36  1.1541112 1.2329961 0.127272727   36   19   14   97    2
37  1.1919323 0.6127839 0.136363636   37   19   16   95    2
74  1.2281457 0.0000000 0.136363636   74   19   16   95    2
84  1.1402902 1.5786392 0.154545455   84   19   17   94    2
8   1.1739812 2.6386889 0.162162162    8   18   17   94    3
29  1.0710063 3.3837436 0.171171171   29   17   17   94    4
32  1.1985315 0.8750613 0.181818182   32   17   20   91    4
69  1.1601741 1.9925535 0.181818182   69   17   20   91    4
78  1.1999903 0.3010300 0.181818182   78   17   20   91    4
124 1.2768048 1.4548449 0.200000000  124   17   21   90    4
79  1.1669336 2.9377184 0.207207207   79   16   21   90    5
35  1.2346133 1.0413927 0.227272727   35   16   23   88    5
61  1.2597803 1.0374265 0.227272727   61   16   23   88    5
53  1.1386011 1.3926970 0.236363636   53   16   26   85    5
73  1.2849975 0.0000000 0.236363636   73   16   26   85    5
115 1.1443069 1.5092025 0.236363636  115   16   26   85    5
85  1.2859947 1.2944662 0.245454545   85   16   27   84    5
27  1.2579050 0.7160033 0.272727273   27   16   29   82    5
88  1.2674659 2.2372923 0.272727273   88   16   29   82    5
75  1.2341905 1.1303338 0.281818182   75   16   30   81    5
33  1.2526170 1.2068259 0.290909091   33   16   32   79    5
38  1.3285994 1.4842998 0.290909091   38   16   32   79    5
44  1.2674274 2.4879863 0.297297297   44   15   32   79    6
39  1.2534522 2.1504494 0.300000000   39   15   35   76    6
43  1.2860509 0.7160033 0.300000000   43   15   35   76    6
117 1.2048978 0.7993405 0.300000000  117   15   35   76    6
87  1.3509050 1.3283796 0.309090909   87   15   36   75    6
41  1.3938337 2.4549972 0.315315315   41   13   36   75    8
122 1.3564877 2.5627685 0.315315315  122   13   36   75    8
9   1.3547496 2.0406023 0.318181818    9   13   37   74    8
31  1.3556646 2.7136585 0.324324324   31   12   37   74    9
64  1.2739412 0.6127839 0.327272727   64   12   38   73    9
2   1.3146029 0.6127839 0.345454545    1   12   41   70    9
49  1.2601437 1.6009729 0.345454545   49   12   41   70    9
129 1.2993276 1.3636120 0.345454545  129   12   41   70    9
113 1.3138498 1.5378191 0.363636364  113   12   42   69    9
5   1.2493971 1.2855573 0.372727273    5   12   44   67    9
72  1.3226528 0.3010300 0.372727273   72   12   44   67    9
56  1.3367718 2.1525941 0.381818182   56   12   45   66    9
52  1.3472458 1.1931246 0.390909091   52   12   47   64    9
104 1.3232701 2.1804126 0.390909091  104   12   47   64    9
105 1.3281965 1.2253093 0.400000000  105   12   48   63    9
48  1.3800524 0.7993405 0.418181818   48   12   51   60    9
67  1.4532942 2.0413927 0.418181818   67   12   51   60    9
130 1.3529816 1.2068259 0.418181818  130   12   51   60    9
50  1.4947055 2.2370408 0.436363636   50   12   52   59    9
12  1.3867774 0.9344985 0.454545455   12   12   54   57    9
81  1.4200237 2.0437551 0.454545455   81   12   54   57    9
76  1.4396954 2.9119030 0.459459459   76   11   54   57   10
45  1.4784529 2.2367891 0.472727273   45   11   55   56   10
126 1.3971955 2.9914033 0.477477477  126   10   55   56   11
7   1.4233914 0.0000000 0.481818182    7   10   56   55   11
62  1.5117635 0.9912261 0.500000000   62   10   57   54   11
109 1.4071380 1.5198280 0.509090909  109   10   58   53   11
112 1.4808838 0.7993405 0.536363636  112   10   61   50   11
116 1.4838132 1.2278867 0.536363636  116   10   61   50   11
128 1.4250865 1.8998205 0.536363636  128   10   61   50   11
47  1.5390600 2.5125510 0.549549550   47    9   61   50   12
42  1.5459863 1.1643529 0.554545455   42    9   63   48   12
93  1.5262874 1.9079485 0.554545455   93    9   63   48   12
40  1.5808549 0.3010300 0.581818182   40    9   64   47   12
82  1.4957662 1.9454686 0.590909091   82    9   66   45   12
103 1.5136997 2.0182843 0.590909091  103    9   66   45   12
46  1.5580236 2.3529539 0.600000000   46    9   67   44   12
107 1.5619625 0.4913617 0.609090909  107    9   69   42   12
121 1.5850184 0.9294189 0.609090909  121    9   69   42   12
4   1.5522867 2.1316187 0.627272727    4    9   70   41   12
131 1.5335037 2.7383841 0.630630631  131    8   70   41   13
92  1.5168042 2.0744507 0.636363636   92    8   72   39   13
120 1.5754356 1.3909351 0.636363636  120    8   72   39   13
55  1.6043768 2.7629785 0.648648649   55    7   72   39   14
22  1.5774349 0.3010300 0.654545455   22    7   73   38   14
125 1.5736776 1.6170003 0.663636364  125    7   74   37   14
10  1.5920760 0.0000000 0.672727273   10    7   76   35   14
211 1.6047746 0.7993405 0.672727273   21    7   76   35   14
58  1.6089334 0.7993405 0.681818182   58    7   77   34   14
89  1.6439792 1.6009729 0.700000000   89    7   79   32   14
94  1.6404112 1.8000294 0.700000000   94    7   79   32   14
97  1.6127939 2.4549972 0.702702703   97    6   79   32   15
106 1.7297840 1.3979400 0.709090909  106    6   80   31   15
123 1.6460359 1.6294096 0.718181818  123    6   81   30   15
59  1.6462071 1.5658478 0.727272727   59    6   82   29   15
6   1.6604502 1.5888317 0.736363636    6    6   84   27   15
127 1.6527843 1.8970770 0.736363636  127    6   84   27   15
100 1.6747159 1.2944662 0.754545455  100    6   85   26   15
108 1.6582619 1.3765770 0.763636364  108    6   86   25   15
23  1.7518020 0.0000000 0.781818182   23    6   87   24   15
95  1.6994855 2.0744507 0.790909091   95    6   89   22   15
110 1.7280910 1.1613680 0.790909091  110    6   89   22   15
99  1.7186731 1.8000294 0.800000000   99    6   91   20   15
111 1.7350754 0.7160033 0.800000000  111    6   91   20   15
60  1.7809898 1.7795965 0.809090909   60    6   93   18   15
119 1.8310687 0.3010300 0.809090909  119    6   93   18   15
86  1.8177023 1.1931246 0.827272727   86    6   94   17   15
15  1.7478509 1.1903317 0.845454545   15    6   96   15   15
16  1.8187908 0.9242793 0.845454545   16    6   96   15   15
51  1.8608592 1.5854607 0.863636364   51    6   97   14   15
114 1.8467838 1.1303338 0.872727273  114    6   99   12   15
118 1.8826550 1.4842998 0.872727273  118    6   99   12   15
21  1.8760418 2.9914033 0.873873874    2    5   99   12   16
91  1.8942808 2.2636361 0.881818182   91    5  100   11   16
3   1.9122379 0.4913617 0.900000000    3    5  101   10   16
66  1.9070276 2.8615344 0.900900901   66    4  101   10   17
63  1.8104095 0.8573325 0.918181818   63    4  102    9   17
132 1.9554890 1.9813655 0.927272727  132    4  103    8   17
30  2.0040077 2.5985717 0.927927928   30    3  103    8   18
102 1.8230051 2.1804126 0.936363636  102    3  104    7   18
18  2.1685679 2.3040595 0.945454545   18    3  105    6   18
17  2.3100930 1.7024305 0.972727273   17    3  106    5   18
80  2.1855879 1.3344538 0.981818182   80    3  108    3   18
98  2.1280856 1.9947569 0.981818182   98    3  108    3   18
14  2.2311571 2.3960249 0.981981982   14    2  108    3   19
101 2.1764757 3.3837436 0.990990991  101    1  108    3   20
54  2.5141025 1.4955443 1.000000000   54    0  111    0   21
57  2.4060634 0.8692317 1.000000000   57    0  111    0   21
90  2.2237738 1.7234557 1.000000000   90    0  111    0   21
96  2.3369722 2.4141374 1.000000000   96    0  111    0   21
