# threshold = 1.89695161610319
# Area under ROC curve = 0.805984555984556
# aggregate.tpos = 6
# aggregate.tneg = 123
# aggregate.fpos = 25
# aggregate.fneg = 8
# rocframe: 
    predicted    actual  threshold fold tpos tneg fpos fneg
122 0.3207372 0.0000000 0.00000000    3   14    1  147    0
124 0.8358594 1.2329961 0.01075269    3   14    2  146    0
77  0.8979646 1.0334238 0.03225806    3   14    3  145    0
160 1.0037345 2.9377184 0.04237288    4   13    3  145    1
90  0.9601058 1.4756712 0.04301075    3   13    4  144    1
29  1.0973174 0.6127839 0.04545455    2   13    9  139    1
42  1.0961258 0.7923917 0.04545455    2   13    9  139    1
43  1.0871397 0.7993405 0.04545455    2   13    9  139    1
46  1.0895806 0.7993405 0.04545455    2   13    9  139    1
50  1.1020674 1.0755470 0.04545455    2   13    9  139    1
70  1.0049259 1.5145478 0.05376344    3   13   12  136    1
88  1.0279829 0.9542425 0.05376344    3   13   12  136    1
91  0.9999808 0.9344985 0.05376344    3   13   12  136    1
57  1.1246829 0.7075702 0.07272727    2   13   14  134    1
66  1.1456143 1.4440448 0.07272727    2   13   14  134    1
41  1.1676761 1.1643529 0.09090909    2   13   16  132    1
56  1.1712249 1.8175654 0.09090909    2   13   16  132    1
118 1.0679724 0.8633229 0.11827957    3   13   17  131    1
138 1.0732072 0.4771213 0.11864407    4   13   18  130    1
58  1.2277994 1.0791812 0.13636364    2   13   20  128    1
67  1.2151115 1.1335389 0.13636364    2   13   20  128    1
28  1.2491913 1.4456042 0.15454545    2   13   21  127    1
153 1.1365052 1.2329961 0.16949153    4   13   22  126    1
49  1.2533949 1.7226339 0.17272727    2   13   23  125    1
45  1.2649120 1.6384893 0.18181818    2   13   25  123    1
51  1.2746880 2.1711412 0.18181818    2   13   25  123    1
71  1.1506501 1.6063814 0.18279570    3   13   27  121    1
96  1.1500662 1.5809250 0.18279570    3   13   27  121    1
17  1.1338708 1.6730209 0.18699187    1   13   28  120    1
52  1.2918977 0.4771213 0.20909091    2   13   29  119    1
126 1.1941959 0.6127839 0.21186441    4   13   30  118    1
26  1.2941801 1.1271048 0.21818182    2   13   31  117    1
123 1.2119736 1.5550944 0.23655914    3   13   32  116    1
27  1.3134055 1.9057959 0.24545455    2   13   33  115    1
83  1.2402814 0.9777236 0.24731183    3   13   35  113    1
103 1.2257961 1.4345689 0.24731183    3   13   35  113    1
44  1.3209717 0.7160033 0.25454545    2   13   36  112    1
15  1.1949714 1.3820170 0.26016260    1   13   37  111    1
23  1.2011559 0.0000000 0.26829268    1   13   38  110    1
22  1.2055941 1.8088859 0.27642276    1   13   39  109    1
75  1.2880639 0.9242793 0.27956989    3   13   40  108    1
97  1.3035393 1.4297523 0.29032258    3   13   41  107    1
137 1.2342801 1.7092700 0.29661017    4   13   42  106    1
144 1.2453691 0.8750613 0.30508475    4   13   43  105    1
109 1.3102026 0.0000000 0.31182796    3   13   44  104    1
145 1.2574226 1.2278867 0.32203390    4   13   45  103    1
85  1.3178979 0.7993405 0.32258065    3   13   46  102    1
39  1.3547214 1.2041200 0.32727273    2   13   47  101    1
72  1.3282596 0.7160033 0.33333333    3   13   48  100    1
151 1.2755507 0.3010300 0.33898305    4   13   49   99    1
104 1.3738686 1.1643529 0.34408602    3   13   50   98    1
37  1.3583974 2.0437551 0.34545455    2   13   51   97    1
142 1.2953597 1.5092025 0.35593220    4   13   52   96    1
33  1.3822082 1.2988531 0.37272727    2   13   54   94    1
54  1.3868652 0.4913617 0.37272727    2   13   54   94    1
3   1.2410181 1.1398791 0.37398374    1   13   55   93    1
5   1.2871321 1.5378191 0.41463415    1   13   57   91    1
9   1.2807653 1.7846173 0.41463415    1   13   57   91    1
157 1.3204006 1.8773713 0.41525424    4   13   58   90    1
132 1.3304561 2.2195845 0.43220339    4   13   59   89    1
62  1.4147936 1.7355989 0.43636364    2   13   60   88    1
108 1.4211900 1.1702617 0.45161290    3   13   61   87    1
115 1.4574866 1.0863598 0.46236559    3   13   62   86    1
127 1.3442913 1.0334238 0.46610169    4   13   63   85    1
2   1.3385569 1.2671717 0.47154472    1   13   64   84    1
11  1.3467951 1.8680564 0.47967480    1   13   65   83    1
158 1.3540513 1.5211381 0.49152542    4   13   66   82    1
76  1.4771838 0.8692317 0.49462366    3   13   67   81    1
16  1.3639199 1.6201361 0.50406504    1   13   68   80    1
143 1.3594237 1.0863598 0.50847458    4   13   69   79    1
136 1.3697895 1.0334238 0.52542373    4   13   70   78    1
63  1.4585575 1.7737864 0.52727273    2   13   71   77    1
18  1.3932839 2.1126050 0.53658537    1   13   72   76    1
40  1.4769346 1.5105450 0.55454545    2   13   73   75    1
25  1.4265896 1.2329961 0.57723577    1   13   74   74    1
89  1.5221777 2.2159018 0.58064516    3   13   75   73    1
59  1.4999897 1.6444386 0.59090909    2   13   76   72    1
131 1.4085933 1.2041200 0.60169492    4   13   77   71    1
135 1.4239667 0.6127839 0.61016949    4   13   78   70    1
110 1.5552746 1.4593925 0.63440860    3   13   79   69    1
61  1.5277615 1.7795965 0.63636364    2   13   80   68    1
53  1.5540432 1.4785665 0.67272727    2   13   82   66    1
60  1.5485156 1.4593925 0.67272727    2   13   82   66    1
86  1.5900115 1.0791812 0.69892473    3   13   87   61    1
87  1.5905961 1.2430380 0.69892473    3   13   87   61    1
98  1.5896925 1.9355073 0.69892473    3   13   87   61    1
117 1.6116153 1.0791812 0.69892473    3   13   87   61    1
119 1.6012666 0.8512583 0.69892473    3   13   87   61    1
149 1.4684906 0.7923917 0.70338983    4   13   88   60    1
6   1.5680743 1.9036325 0.71544715    1   13   89   59    1
31  1.5757045 0.0000000 0.71818182    2   13   90   58    1
133 1.5070991 3.2980448 0.72881356    4   12   90   58    2
73  1.6580874 1.4593925 0.73118280    3   12   96   52    2
74  1.6223864 1.2900346 0.73118280    3   12   96   52    2
78  1.6811959 0.3010300 0.73118280    3   12   96   52    2
82  1.6352005 1.5378191 0.73118280    3   12   96   52    2
92  1.6402063 0.9822712 0.73118280    3   12   96   52    2
95  1.6793307 1.5550944 0.73118280    3   12   96   52    2
24  1.5859788 1.8469553 0.73170732    1   12   97   51    2
47  1.5979969 1.8920946 0.73636364    2   12   99   49    2
65  1.5982428 1.3483049 0.73636364    2   12   99   49    2
8   1.6012968 0.6127839 0.74796748    1   12  100   48    2
69  1.7198737 1.3891661 0.76344086    3   12  101   47    2
30  1.6229233 0.7075702 0.76363636    2   12  102   46    2
10  1.6352271 2.2652896 0.76422764    1   12  103   45    2
134 1.5550379 1.6106602 0.77118644    4   12  105   43    2
159 1.5421633 1.6532125 0.77118644    4   12  105   43    2
21  1.6587973 1.9484130 0.77235772    1   12  106   42    2
101 1.7422931 1.3820170 0.77419355    3   12  110   38    2
105 1.7384190 1.9169800 0.77419355    3   12  110   38    2
107 1.7384512 0.9867717 0.77419355    3   12  110   38    2
121 1.7503924 1.7693773 0.77419355    3   12  110   38    2
125 1.6054658 1.3909351 0.78813559    4   11  112   36    3
141 1.5736755 3.2980448 0.78813559    4   11  112   36    3
