# Seed = 722
# Site = neshotah
# Method = spls
# Area under ROC curve = 0.81611969111969
# aggregate.tpos = 7
# aggregate.tneg = 133
# aggregate.fpos = 15
# aggregate.fneg = 7
# variables: beach_WaveHeightManual, CloudCover_Mean_1, CloudCover_Mean_2, CloudCover_Mean_6, CloudCover_Mean_12, HeightAboveSeaLevel_Mean_24, HeightAboveSeaLevel_Min_24, CurrentDepthAveraged_Mean_120_perp, CurrentDepthAveraged_Mean_72_par, CurrentDepthAveraged_Mean_120_par, CurrentSurface_Mean_120_par, WaveHeight_Mean_1, WaveHeight_Mean_2, WaveHeight_Mean_6, WaveHeight_Mean_12, AirTemperature_StDev_12, Sqrt.Precipitation.over.upload.neshtah.Sum..2hr, Sqrt.Precipitation.over.upload.neshtah.Sum..6hr, beach_AlgaeNearshore2, log.beach_TurbidityBeach
# thresholding specificity: 0.91156462585034
# decision threshold: 1.97998960847405
# full results: 
    predicted    actual   threshold fold tpos tneg fpos fneg
122 0.6446931 0.0000000 0.000000000  122   14    1  147    0
77  0.7617118 1.0334238 0.006802721   77   14    3  145    0
118 0.8285195 0.8633229 0.006802721  118   14    3  145    0
43  0.8741519 0.7993405 0.013605442   43   14    5  143    0
50  0.8868983 1.0755470 0.013605442   50   14    5  143    0
75  0.7630330 0.9242793 0.020408163   75   14    6  142    0
37  0.9141652 2.0437551 0.027210884   37   14    7  141    0
57  0.9167692 0.7075702 0.034013605   57   14    8  140    0
42  0.8196121 0.7923917 0.040816327   42   14    9  139    0
90  0.9815977 1.4756712 0.054421769   90   14   10  138    0
124 0.9978718 1.2329961 0.068027211  124   14   11  137    0
46  0.9782686 0.7993405 0.074829932   46   14   12  136    0
41  1.0270071 1.1643529 0.081632653   41   14   13  135    0
70  1.0545039 1.5145478 0.095238095   70   14   14  134    0
160 1.0358244 2.9377184 0.101351351  160   13   14  134    1
142 1.1130030 1.5092025 0.102040816  142   13   15  133    1
109 1.1012470 0.0000000 0.108843537  109   13   16  132    1
126 1.1076065 0.6127839 0.115646259  126   13   17  131    1
85  1.1180023 0.7993405 0.122448980   85   13   19  129    1
138 1.1295962 0.4771213 0.122448980  138   13   19  129    1
66  1.1107825 1.4440448 0.129251701   66   13   21  127    1
91  1.1282688 0.9344985 0.129251701   91   13   21  127    1
67  1.1548588 1.1335389 0.149659864   67   13   23  125    1
88  1.1034836 0.9542425 0.149659864   88   13   23  125    1
44  1.1276481 0.7160033 0.163265306   44   13   25  123    1
123 1.1540951 1.5550944 0.163265306  123   13   25  123    1
96  1.1461384 1.5809250 0.170068027   96   13   26  122    1
72  1.1962412 0.7160033 0.183673469   72   13   27  121    1
74  1.1720397 1.2900346 0.190476190   74   13   29  119    1
110 1.1493238 1.4593925 0.190476190  110   13   29  119    1
63  1.1907100 1.7737864 0.197278912   63   13   31  117    1
137 1.1540637 1.7092700 0.197278912  137   13   31  117    1
8   1.2241807 0.6127839 0.217687075    8   13   32  116    1
17  1.2156192 1.6730209 0.224489796   17   13   34  114    1
108 1.2026452 1.1702617 0.224489796  108   13   34  114    1
9   1.1969950 1.7846173 0.231292517    9   13   35  113    1
132 1.1640903 2.2195845 0.238095238  132   13   36  112    1
144 1.2059592 0.8750613 0.258503401  144   13   37  111    1
153 1.2765985 1.2329961 0.265306122  153   13   38  110    1
28  1.2517959 1.4456042 0.285714286   28   13   41  107    1
45  1.2108149 1.6384893 0.285714286   45   13   41  107    1
92  1.2592358 0.9822712 0.285714286   92   13   41  107    1
22  1.2387924 1.8088859 0.299319728   22   13   43  105    1
29  1.3080445 0.6127839 0.299319728   29   13   43  105    1
54  1.2443708 0.4913617 0.306122449   54   13   46  102    1
117 1.2253802 1.0791812 0.306122449  117   13   46  102    1
145 1.2150112 1.2278867 0.306122449  145   13   46  102    1
