# threshold = 1.79214099722113
# Area under ROC curve = 0.876546982429335
# aggregate.tpos = 48
# aggregate.tneg = 62
# aggregate.fpos = 57
# aggregate.fneg = 7
# rocframe: 
    predicted    actual   threshold fold tpos tneg fpos fneg
20  0.9413161 2.0969100 0.000000000    1   55    2  117    0
23  0.8436431 1.6464037 0.000000000    1   55    2  117    0
5   1.1728190 1.6599162 0.009615385    1   55    5  114    0
22  1.1665893 2.2866810 0.009615385    1   55    5  114    0
26  1.0981224 1.7024305 0.009615385    1   55    5  114    0
77  1.4267633 1.2253093 0.026315789    3   55    8  111    0
78  1.3361189 1.5263393 0.026315789    3   55    8  111    0
79  1.3875850 1.3636120 0.026315789    3   55    8  111    0
21  1.2207875 2.2871296 0.028846154    1   55    9  110    0
46  1.1991927 1.1172713 0.033707865    2   55   10  109    0
72  1.4521961 1.1903317 0.039473684    3   55   12  107    0
76  1.4561841 0.8692317 0.039473684    3   55   12  107    0
32  1.2968697 1.8847954 0.044943820    2   55   14  105    0
47  1.3019351 1.4927604 0.044943820    2   55   14  105    0
6   1.3006398 0.0000000 0.057692308    1   55   15  104    0
9   1.3253705 1.6170003 0.067307692    1   55   16  103    0
17  1.3310685 2.3829171 0.076923077    1   54   16  103    1
8   1.3799160 1.9329808 0.086538462    1   54   17  102    1
130 1.2496830 2.1316187 0.090909091    4   54   18  101    1
18  1.3993004 2.5366847 0.096153846    1   53   18  101    2
19  1.4336774 2.5880475 0.105769231    1   52   19  100    3
30  1.4193821 2.1195858 0.105769231    1   52   19  100    3
44  1.4305354 1.8680564 0.112359551    2   52   20   99    3
29  1.4478884 2.0195317 0.115384615    1   52   21   98    3
35  1.4602848 0.9344985 0.123595506    2   52   24   95    3
42  1.4577565 1.5843312 0.123595506    2   52   24   95    3
57  1.4465408 1.3201463 0.123595506    2   52   24   95    3
131 1.3541961 1.4082400 0.125000000    4   52   26   93    3
135 1.3384214 1.5502284 0.125000000    4   52   26   93    3
51  1.4837205 1.7307823 0.146067416    2   52   27   92    3
24  1.5045457 2.4549972 0.163461538    1   51   27   92    4
36  1.5138204 1.5440680 0.168539326    2   51   28   91    4
136 1.4181671 1.6954817 0.170454545    4   51   29   90    4
28  1.5236679 2.2362853 0.182692308    1   51   30   89    4
74  1.5370308 2.0153598 0.184210526    3   51   32   87    4
81  1.5409724 1.1986571 0.184210526    3   51   32   87    4
59  1.6079281 1.1903317 0.247191011    2   51   34   85    4
64  1.6157059 2.2360331 0.247191011    2   51   34   85    4
123 1.5921167 2.0831441 0.276315789    3   51   35   84    4
83  1.5993692 2.2367891 0.302631579    3   51   36   83    4
82  1.6074078 1.6020600 0.315789474    3   51   37   82    4
97  1.6443160 1.5611014 0.328947368    3   51   38   81    4
137 1.5957724 1.4593925 0.329545455    4   51   39   80    4
138 1.6030974 2.3398488 0.340909091    4   51   41   78    4
146 1.6117736 1.3909351 0.340909091    4   51   41   78    4
125 1.6475770 1.8898617 0.342105263    3   51   42   77    4
73  1.6545314 0.7708520 0.368421053    3   51   44   75    4
88  1.6541183 1.8215135 0.368421053    3   51   44   75    4
145 1.6365491 1.4031205 0.375000000    4   51   45   74    4
90  1.6889552 1.6720979 0.394736842    3   51   46   73    4
150 1.6469947 1.1522883 0.397727273    4   51   47   72    4
40  1.6899757 2.1878026 0.415730337    2   51   49   70    4
48  1.6891305 0.7075702 0.415730337    2   51   49   70    4
31  1.6980481 1.6954817 0.426966292    2   51   50   69    4
151 1.6757934 0.6127839 0.431818182    4   51   51   68    4
66  1.7161840 2.3040595 0.438202247    2   51   52   67    4
96  1.7066081 1.8299467 0.447368421    3   51   53   66    4
70  1.7215764 2.2237555 0.449438202    2   51   54   65    4
80  1.7350610 2.1628630 0.460526316    3   51   56   63    4
99  1.7159787 1.5658478 0.460526316    3   51   56   63    4
38  1.7288845 2.5627685 0.460674157    2   49   56   63    6
55  1.7306306 2.5880475 0.460674157    2   49   56   63    6
149 1.7169767 1.3926970 0.465909091    4   49   57   62    6
92  1.7414442 1.5276299 0.473684211    3   49   59   60    6
93  1.7395391 1.9818186 0.473684211    3   49   59   60    6
143 1.7693821 1.5943926 0.511363636    4   49   61   58    6
153 1.7682472 1.2329961 0.511363636    4   49   61   58    6
89  1.7692253 2.1051694 0.513157895    3   49   64   55    6
95  1.7652719 1.3856063 0.513157895    3   49   64   55    6
114 1.7705825 1.1522883 0.513157895    3   49   64   55    6
144 1.7738938 1.3031961 0.522727273    4   49   66   53    6
154 1.7726514 0.6127839 0.522727273    4   49   66   53    6
94  1.7771508 1.6551384 0.526315789    3   49   68   51    6
98  1.7750497 1.4393327 0.526315789    3   49   68   51    6
139 1.7913661 2.1553360 0.534090909    4   49   69   50    6
140 1.7959255 0.9242793 0.545454545    4   49   70   49    6
33  1.7838163 2.2227165 0.561797753    2   49   72   47    6
68  1.7906903 2.3516031 0.561797753    2   49   72   47    6
10  1.8248298 2.4366396 0.576923077    1   48   72   47    7
128 1.8698344 1.0791812 0.579545455    4   48   73   46    7
104 1.8590523 2.0870712 0.592105263    3   48   74   45    7
103 1.8758815 1.3031961 0.605263158    3   48   75   44    7
141 1.9041381 2.5161386 0.613636364    4   47   75   44    8
34  1.8514263 1.9344985 0.617977528    2   47   76   43    8
1   1.8855606 1.0374265 0.625000000    1   47   79   40    8
152 1.9153791 0.3010300 0.625000000    4   47   79   40    8
156 1.9125454 1.8419848 0.625000000    4   47   79   40    8
75  1.8842588 1.2380461 0.631578947    3   47   80   39    8
132 1.9192533 2.1495270 0.636363636    4   47   81   38    8
14  1.9082047 2.3577443 0.653846154    1   47   82   37    8
118 1.8973839 1.4785665 0.657894737    3   47   83   36    8
52  1.8745729 1.6374897 0.662921348    2   47   84   35    8
37  1.8953144 1.8898617 0.696629213    2   47   85   34    8
129 1.9663271 2.4637437 0.704545455    4   46   85   34    9
111 1.9198281 1.9571282 0.710526316    3   46   86   33    9
124 1.9458403 1.9703469 0.723684211    3   46   87   32    9
142 1.9880991 1.9929951 0.727272727    4   46   88   31    9
39  1.9218625 2.3308195 0.730337079    2   46   89   30    9
45  1.9481147 1.2068259 0.752808989    2   46   90   29    9
171 2.0041002 2.6386889 0.761363636    4   45   90   29   10
110 1.9723231 1.7505084 0.763157895    3   45   92   27   10
119 1.9772305 2.1580608 0.763157895    3   45   92   27   10
49  1.9736792 1.0374265 0.764044944    2   45   94   25   10
54  1.9584045 2.2227165 0.764044944    2   45   94   25   10
2   1.9776947 1.3541084 0.769230769    1   45   95   24   10
134 2.0207611 2.8865471 0.772727273    4   44   95   24   11
69  1.9891497 2.1760913 0.775280899    2   44   96   23   11
105 1.9922472 2.1878026 0.776315789    3   44   97   22   11
157 2.0506959 1.6954817 0.784090909    4   44   99   20   11
158 2.0530290 1.1643529 0.784090909    4   44   99   20   11
112 2.0035999 2.2237555 0.789473684    3   44  101   18   11
127 2.0007663 1.5831988 0.789473684    3   44  101   18   11
155 2.0696514 1.4345689 0.795454545    4   44  103   16   11
167 2.0701646 2.1126050 0.795454545    4   44  103   16   11
62  1.9952266 2.3398488 0.797752809    2   44  104   15   11
7   2.0005580 2.6887757 0.798076923    1   43  104   15   12
169 2.0817457 2.5125510 0.806818182    4   42  104   15   13
133 2.1108482 2.3769418 0.818181818    4   41  104   15   14
53  2.0246773 1.9934362 0.820224719    2   41  106   13   14
63  2.0245670 1.9503649 0.820224719    2   41  106   13   14
113 2.0133961 1.9464523 0.828947368    3   41  108   11   14
126 2.0185973 1.7291648 0.828947368    3   41  108   11   14
173 2.1228550 2.1580608 0.829545455    4   41  109   10   14
160 2.1364425 2.3516031 0.840909091    4   41  110    9   14
86  2.0501038 2.0166155 0.855263158    3   41  112    7   14
109 2.0567363 2.0795430 0.855263158    3   41  112    7   14
122 2.0611023 2.1000257 0.868421053    3   41  113    6   14
11  2.1024007 2.6386889 0.903846154    1   40  113    6   15
58  2.1312003 2.6637951 0.910112360    2   39  113    6   16
165 2.2355830 2.1580608 0.920454545    4   39  115    4   16
168 2.2374674 2.1251558 0.920454545    4   39  115    4   16
164 2.3822732 2.7629785 0.931818182    4   37  116    3   18
166 2.2796589 2.4401216 0.931818182    4   37  116    3   18
170 2.3129120 2.3310222 0.931818182    4   37  116    3   18
87  2.1473635 2.7595168 0.934210526    3   35  117    2   20
91  2.2095875 2.8615344 0.934210526    3   35  117    2   20
117 2.1982233 2.3147097 0.934210526    3   35  117    2   20
56  2.2033691 2.8615344 0.955056180    2   34  118    1   21
67  2.1704672 1.8680564 0.955056180    2   34  118    1   21
121 2.2913857 2.5125510 0.960526316    3   33  118    1   22
43  2.3129940 2.7136585 0.966292135    2   32  118    1   23
85  2.3039449 2.9189211 0.973684211    3   31  118    1   24
172 2.5434197 2.4879863 0.977272727    4   30  118    1   25
159 2.5955045 2.6386889 0.988636364    4   29  118    1   26
3   2.8614904 3.0491792 1.000000000    1    0  119    0   55
4   4.1083587 3.3837436 1.000000000    1    0  119    0   55
12  3.2774614 3.2387735 1.000000000    1    0  119    0   55
13  3.7065697 3.3837436 1.000000000    1    0  119    0   55
15  3.3494016 3.3837436 1.000000000    1    0  119    0   55
16  2.9168638 3.2980448 1.000000000    1    0  119    0   55
25  2.2305493 3.0491792 1.000000000    1    0  119    0   55
27  2.7949579 3.3837436 1.000000000    1    0  119    0   55
41  2.9479584 3.0803739 1.000000000    2    0  119    0   55
50  3.5037280 3.3837436 1.000000000    2    0  119    0   55
60  3.7844776 3.3837436 1.000000000    2    0  119    0   55
61  2.6941320 3.1138431 1.000000000    2    0  119    0   55
65  3.2086040 3.3837436 1.000000000    2    0  119    0   55
71  4.2068494 3.3837436 1.000000000    2    0  119    0   55
84  2.5474836 3.0048371 1.000000000    3    0  119    0   55
100 3.7221741 3.3837436 1.000000000    3    0  119    0   55
101 3.4735726 3.2980448 1.000000000    3    0  119    0   55
102 2.4786607 2.8615344 1.000000000    3    0  119    0   55
106 2.6560235 2.9119030 1.000000000    3    0  119    0   55
107 3.7843349 3.3837436 1.000000000    3    0  119    0   55
108 2.4806933 2.6134189 1.000000000    3    0  119    0   55
115 2.4295062 1.9722028 1.000000000    3    0  119    0   55
116 3.6585297 3.3837436 1.000000000    3    0  119    0   55
120 4.0429333 3.3837436 1.000000000    3    0  119    0   55
147 3.8102348 3.3837436 1.000000000    4    0  119    0   55
148 2.7108734 3.0196147 1.000000000    4    0  119    0   55
161 3.0442855 2.8615344 1.000000000    4    0  119    0   55
162 3.1039258 2.6134189 1.000000000    4    0  119    0   55
163 3.3323268 3.3837436 1.000000000    4    0  119    0   55
174 2.6797508 2.5627685 1.000000000    4    0  119    0   55
# predperf: 
  tpos tneg fpos fneg
1   10   14    1    5
2    9   16   14    2
3   13   16   27    0
4   16   16   15    0
