# Seed = 392
# Site = thompson
# Method = spls
# Area under ROC curve = 0.878183831672204
# aggregate.tpos = 11
# aggregate.tneg = 118
# aggregate.fpos = 11
# aggregate.fneg = 3
# variables: beach_WaterTemp, beach_WaveHeightManual, AirTemperature_StDev_6, Sqrt.Precipitation.over.upload.Thompson.Sum..72hr, Sqrt.Precipitation.over.upload.maslowski.Sum..24hr, Sqrt.Precipitation.over.upload.maslowski.Sum..72hr, log.beach_TurbidityBeach
# thresholding specificity: 0.8671875
# decision threshold: 1.64435795410834
# full results: 
    predicted    actual threshold fold tpos tneg fpos fneg
13  0.2879877 1.4132998 0.0000000   13   14    1  128    0
25  0.5983702 0.9242793 0.0078125   25   14    2  127    0
9   0.5891827 1.6314438 0.0234375    9   14    3  126    0
140 0.6884797 1.0863598 0.0312500  140   14    4  125    0
77  0.6113338 1.2041200 0.0468750   77   14    5  124    0
4   0.7688255 0.7160033 0.0781250    4   14    8  121    0
19  0.8350275 0.3010300 0.0781250   19   14    8  121    0
141 0.7701230 0.8633229 0.0781250  141   14    8  121    0
71  0.8144993 0.7993405 0.0859375   71   14   12  117    0
74  0.8857828 0.4913617 0.0859375   74   14   12  117    0
75  0.7135813 0.9344985 0.0859375   75   14   12  117    0
85  0.6634688 1.0827854 0.0859375   85   14   12  117    0
34  0.7321208 0.0000000 0.0937500   34   14   14  115    0
38  0.7928338 0.0000000 0.0937500   38   14   14  115    0
72  0.8543929 0.7160033 0.1171875   72   14   15  114    0
33  0.8949525 0.0000000 0.1406250   33   14   16  113    0
18  0.7864257 1.4248816 0.1562500   18   14   18  111    0
112 0.8920779 1.2068259 0.1562500  112   14   18  111    0
32  0.8973710 0.7160033 0.1718750   32   14   21  108    0
131 0.9129727 0.3010300 0.1718750  131   14   21  108    0
135 0.8871073 0.4771213 0.1718750  135   14   21  108    0
41  0.9935620 1.4955443 0.1796875   41   14   23  106    0
129 0.9113348 0.7993405 0.1796875  129   14   23  106    0
73  1.0440128 0.3010300 0.1875000   73   14   24  105    0
12  0.9506382 1.2671717 0.1953125   12   14   25  104    0
121 0.9485269 0.3010300 0.2031250  121   14   28  101    0
125 1.0482673 0.6127839 0.2031250  125   14   28  101    0
132 0.9491449 0.7160033 0.2031250  132   14   28  101    0
20  0.8695079 0.0000000 0.2109375   20   14   29  100    0
35  0.9609601 1.6138418 0.2265625   35   14   30   99    0
51  0.9724896 0.3010300 0.2343750   51   14   32   97    0
142 0.8787306 1.3074960 0.2343750  142   14   32   97    0
87  0.9242143 0.0000000 0.2421875   87   14   33   96    0
124 1.0083383 0.6127839 0.2656250  124   14   34   95    0
62  0.9392003 1.2430380 0.2968750   62   14   36   93    0
94  0.9611995 0.7993405 0.2968750   94   14   36   93    0
133 1.0105111 1.0863598 0.3046875  133   14   37   92    0
56  1.1227480 1.3031961 0.3125000   56   14   38   91    0
7   0.9961823 1.0253059 0.3203125    7   14   41   88    0
