# threshold = 1.40027332125024
# Area under ROC curve = NaN
# aggregate.tpos = 5
# aggregate.tneg = 46
# aggregate.fpos = 16
# aggregate.fneg = 11
# rocframe: 
    predicted    actual  threshold fold tpos tneg fpos fneg
20  0.4043166 1.9698816 0.01408451    2   16    7   55    0
22  0.4619784 0.3010300 0.01408451    2   16    7   55    0
24  0.4141138 0.0000000 0.01408451    2   16    7   55    0
25  0.1018947 0.0000000 0.01408451    2   16    7   55    0
26  0.1409155 0.3010300 0.01408451    2   16    7   55    0
27  0.5426070 0.7160033 0.01408451    2   16    7   55    0
34  0.1928118 0.0000000 0.01408451    2   16    7   55    0
8   0.5597884 2.6386889 0.03092784    1   15    7   55    1
124 0.5508488 1.4548449 0.04854369    4   15    8   54    1
30  0.7473974 2.5985717 0.05633803    2   14    9   53    2
35  0.7658627 1.0413927 0.05633803    2   14    9   53    2
36  0.7796132 1.2329961 0.07042254    2   14   10   52    2
44  0.8441158 2.4879863 0.08450704    2   13   11   51    3
52  0.8277196 1.1931246 0.08450704    2   13   11   51    3
129 0.7133644 1.3636120 0.10679612    4   13   12   50    3
130 0.8681315 1.2068259 0.14563107    4   13   13   49    3
13  0.9025142 1.1303338 0.15463918    1   13   14   48    3
32  0.9429274 0.8750613 0.15492958    2   13   15   47    3
37  0.9708440 0.6127839 0.16901408    2   13   17   45    3
62  0.9974438 0.9912261 0.16901408    2   13   17   45    3
9   0.9474974 2.0406023 0.17525773    1   13   18   44    3
61  1.0138757 1.0374265 0.18309859    2   13   19   43    3
29  1.0540122 3.3837436 0.19718310    2   12   19   43    4
11  1.0232930 2.7136585 0.21649485    1   11   20   42    5
12  1.0164556 0.9344985 0.21649485    1   11   20   42    5
128 1.0632915 1.8998205 0.22330097    4   11   21   41    5
28  1.1618432 2.8615344 0.23943662    2   10   25   37    6
33  1.1031450 1.2068259 0.23943662    2   10   25   37    6
39  1.1515778 2.1504494 0.23943662    2   10   25   37    6
40  1.1358255 0.3010300 0.23943662    2   10   25   37    6
65  1.1598572 1.4393327 0.23943662    2   10   25   37    6
126 1.1668504 2.9914033 0.27184466    4    9   25   37    7
5   1.1765476 1.2855573 0.28865979    1    9   26   36    7
122 1.1884121 2.5627685 0.29126214    4    8   26   36    8
45  1.1947764 2.2367891 0.29577465    2    8   27   35    8
43  1.2460358 0.7160033 0.32394366    2    8   29   33    8
53  1.2418049 1.3926970 0.32394366    2    8   29   33    8
21  1.3355955 0.7993405 0.36619718    2    8   31   31    8
64  1.3384101 0.6127839 0.36619718    2    8   31   31    8
41  1.3498401 2.4549972 0.38028169    2    7   32   30    9
46  1.3401644 2.3529539 0.38028169    2    7   32   30    9
23  1.3686443 0.0000000 0.39436620    2    7   33   29    9
125 1.3308581 1.6170003 0.40776699    4    7   34   28    9
31  1.3885830 2.7136585 0.40845070    2    5   35   27   11
55  1.3965164 2.7629785 0.40845070    2    5   35   27   11
58  1.3726933 0.7993405 0.40845070    2    5   35   27   11
123 1.3742022 1.6294096 0.44660194    4    5   36   26   11
7   1.4059704 0.0000000 0.45360825    1    5   37   25   11
49  1.5025761 1.6009729 0.49295775    2    5   40   22   11
63  1.5059462 0.8573325 0.49295775    2    5   40   22   11
67  1.4948896 2.0413927 0.49295775    2    5   40   22   11
48  1.5439275 0.7993405 0.50704225    2    5   42   20   11
54  1.5459881 1.4955443 0.50704225    2    5   42   20   11
56  1.5763011 2.1525941 0.52112676    2    5   43   19   11
1   1.4665318 0.6127839 0.53608247    1    5   44   18   11
38  1.6166161 1.4842998 0.61971831    2    5   45   17   11
131 1.6253908 2.7383841 0.62135922    4    4   45   17   12
127 1.6960906 1.8970770 0.67961165    4    4   46   16   12
10  1.6527336 0.0000000 0.68041237    1    4   47   15   12
6   1.6961966 1.5888317 0.71134021    1    4   48   14   12
4   1.8216248 2.1316187 0.74226804    1    4   49   13   12
15  1.8286311 1.1903317 0.76288660    1    4   50   12   12
51  1.8518764 1.5854607 0.80281690    2    4   51   11   12
47  1.8713218 2.5125510 0.81690141    2    3   51   11   13
50  1.8804692 2.2370408 0.83098592    2    3   52   10   13
3   1.9854896 0.4913617 0.86597938    1    2   53    9   14
14  1.9998398 2.3960249 0.86597938    1    2   53    9   14
66  2.0344215 2.8615344 0.91549296    2    1   53    9   15
16  2.1326246 0.9242793 0.92783505    1    1   54    8   15
42  2.0863541 1.1643529 0.92957746    2    1   56    6   15
59  2.0978517 1.5658478 0.92957746    2    1   56    6   15
57  2.2055333 0.8692317 0.94366197    2    1   58    4   15
60  2.1768466 1.7795965 0.94366197    2    1   58    4   15
2   2.3584917 2.9914033 0.96907216    1    0   58    4   16
17  2.5250804 1.7024305 0.98969072    1    0   60    2   16
18  2.5173170 2.3040595 0.98969072    1    0   60    2   16
132 2.3758789 1.9813655 0.99029126    4    0   61    1   16
19  3.3222615 1.9464523 1.00000000    2    0   62    0   16
68         NA 1.6106602         NA    3    0    0    0    0
69         NA 1.9925535         NA    3    0    0    0    0
70         NA 1.9956352         NA    3    0    0    0    0
71         NA 0.8692317         NA    3    0    0    0    0
72         NA 0.3010300         NA    3    0    0    0    0
73         NA 0.0000000         NA    3    0    0    0    0
74         NA 0.0000000         NA    3    0    0    0    0
75         NA 1.1303338         NA    3    0    0    0    0
76         NA 2.9119030         NA    3    0    0    0    0
77         NA 0.4771213         NA    3    0    0    0    0
78         NA 0.3010300         NA    3    0    0    0    0
79         NA 2.9377184         NA    3    0    0    0    0
80         NA 1.3344538         NA    3    0    0    0    0
81         NA 2.0437551         NA    3    0    0    0    0
82         NA 1.9454686         NA    3    0    0    0    0
83         NA 1.9454686         NA    3    0    0    0    0
84         NA 1.5786392         NA    3    0    0    0    0
85         NA 1.2944662         NA    3    0    0    0    0
86         NA 1.1931246         NA    3    0    0    0    0
87         NA 1.3283796         NA    3    0    0    0    0
88         NA 2.2372923         NA    3    0    0    0    0
89         NA 1.6009729         NA    3    0    0    0    0
90         NA 1.7234557         NA    3    0    0    0    0
91         NA 2.2636361         NA    3    0    0    0    0
92         NA 2.0744507         NA    3    0    0    0    0
93         NA 1.9079485         NA    3    0    0    0    0
94         NA 1.8000294         NA    3    0    0    0    0
95         NA 2.0744507         NA    3    0    0    0    0
96         NA 2.4141374         NA    3    0    0    0    0
97         NA 2.4549972         NA    3    0    0    0    0
98         NA 1.9947569         NA    3    0    0    0    0
99         NA 1.8000294         NA    3    0    0    0    0
100        NA 1.2944662         NA    3    0    0    0    0
