# Seed = 985
# Site = kreher
# Method = spls-select
# Area under ROC curve = 0.61003861003861
# aggregate.tpos = 11
# aggregate.tneg = 72
# aggregate.fpos = 39
# aggregate.fneg = 10
# variables: trib_BayCityCreekAtHwy204026368_TribSc, AirTemperature_Mean_12, AirTemperature_Mean_24, AirTemperature_Mean_48, AirTemperature_Mean_72, AirTemperature_Mean_120, Wind_Mean_1_perp, Wind_Mean_6_perp, Wind_Mean_12_perp, AirTemperature_StDev_6, Sqrt.Whittlesey_ARF_Sum_24, log.beach_TurbidityBeach
# thresholding specificity: 0.654545454545455
# decision threshold: 1.65305118824695
# full results: 
    predicted    actual   threshold fold tpos tneg fpos fneg
24  0.4152296 0.0000000 0.000000000   24   21    1  110    0
25  0.6158247 0.0000000 0.009090909   25   21    2  109    0
26  0.8598877 0.3010300 0.018181818   26   21    3  108    0
77  0.9558833 0.4771213 0.027272727   77   21    4  107    0
20  1.0150652 1.9698816 0.036363636   20   21    6  105    0
58  0.9708096 0.7993405 0.036363636   58   21    6  105    0
2   0.9309458 0.6127839 0.045454545    1   21    8  103    0
70  0.8694529 1.9956352 0.045454545   70   21    8  103    0
32  0.8587460 0.8750613 0.054545455   32   21   11  100    0
65  1.0778498 1.4393327 0.054545455   65   21   11  100    0
87  1.1968308 1.3283796 0.054545455   87   21   11  100    0
124 1.0616724 1.4548449 0.063636364  124   21   12   99    0
13  1.0878237 1.1303338 0.090909091   13   21   13   98    0
19  1.1512521 1.9464523 0.100000000   19   21   14   97    0
27  1.1291195 0.7160033 0.118181818   27   21   16   95    0
74  1.1927483 0.0000000 0.118181818   74   21   16   95    0
36  1.1241601 1.2329961 0.127272727   36   21   17   94    0
34  1.2679299 0.0000000 0.145454545   34   21   18   93    0
37  1.2103663 0.6127839 0.154545455   37   21   19   92    0
11  1.1138633 2.7136585 0.171171171   11   20   19   92    1
78  1.3179616 0.3010300 0.172727273   78   20   20   91    1
84  1.1975260 1.5786392 0.190909091   84   20   21   90    1
35  1.2046909 1.0413927 0.209090909   35   20   22   89    1
61  1.2330268 1.0374265 0.218181818   61   20   24   87    1
92  1.2041326 2.0744507 0.218181818   92   20   24   87    1
68  1.2504244 1.6106602 0.227272727   68   20   25   86    1
88  1.2642386 2.2372923 0.236363636   88   20   26   85    1
29  1.1742349 3.3837436 0.261261261   29   19   26   85    2
49  1.2504964 1.6009729 0.263636364   49   19   27   84    2
129 1.3195193 1.3636120 0.281818182  129   19   28   83    2
38  1.3285994 1.4842998 0.290909091   38   19   30   81    2
39  1.2548681 2.1504494 0.290909091   39   19   30   81    2
64  1.2903052 0.6127839 0.300000000   64   19   31   80    2
73  1.2872683 0.0000000 0.309090909   73   19   32   79    2
41  1.4060061 2.4549972 0.315315315   41   17   32   79    4
44  1.2643058 2.4879863 0.315315315   44   17   32   79    4
9   1.3547496 2.0406023 0.318181818    9   17   34   77    4
12  1.3205712 0.9344985 0.318181818   12   17   34   77    4
43  1.2542923 0.7160033 0.336363636   43   17   36   75    4
116 1.2287509 1.2278867 0.336363636  116   17   36   75    4
115 1.2516709 1.5092025 0.354545455  115   17   37   74    4
79  1.1651921 2.9377184 0.360360360   79   16   37   74    5
117 1.3607435 0.7993405 0.363636364  117   16   38   73    5
45  1.3277043 2.2367891 0.381818182   45   16   39   72    5
48  1.3498411 0.7993405 0.390909091   48   16   41   70    5
52  1.2840967 1.1931246 0.390909091   52   16   41   70    5
71  1.3558106 0.8692317 0.400000000   71   16   43   68    5
81  1.3510496 2.0437551 0.400000000   81   16   43   68    5
113 1.3226149 1.5378191 0.418181818  113   16   44   67    5
72  1.3433892 0.3010300 0.427272727   72   16   45   66    5
56  1.3792732 2.1525941 0.472727273   56   16   47   64    5
121 1.3858911 0.9294189 0.472727273  121   16   47   64    5
7   1.4233914 0.0000000 0.481818182    7   16   48   63    5
15  1.4522032 1.1903317 0.490909091   15   16   49   62    5
8   1.4957649 2.6386889 0.504504505    8   15   49   62    6
53  1.4506086 1.3926970 0.509090909   53   15   51   60    6
130 1.4075677 1.2068259 0.509090909  130   15   51   60    6
33  1.4405148 1.2068259 0.518181818   33   15   52   59    6
62  1.5347041 0.9912261 0.527272727   62   15   53   58    6
82  1.4536877 1.9454686 0.536363636   82   15   54   57    6
80  1.4949839 1.3344538 0.545454545   80   15   56   55    6
128 1.4756469 1.8998205 0.545454545  128   15   56   55    6
76  1.4997606 2.9119030 0.549549550   76   14   56   55    7
28  1.4953001 2.8615344 0.558558559   28   12   56   55    9
122 1.4948046 2.5627685 0.558558559  122   12   56   55    9
83  1.5152403 1.9454686 0.572727273   83   12   57   54    9
60  1.5591970 1.7795965 0.581818182   60   12   59   52    9
112 1.5070721 0.7993405 0.581818182  112   12   59   52    9
131 1.5831639 2.7383841 0.585585586  131   11   59   52   10
4   1.5056271 2.1316187 0.590909091    4   11   62   49   10
93  1.5317147 1.9079485 0.590909091   93   11   62   49   10
111 1.5680039 0.7160033 0.590909091  111   11   62   49   10
75  1.5689829 1.1303338 0.600000000   75   11   64   47   10
107 1.5274491 0.4913617 0.600000000  107   11   64   47   10
120 1.5828478 1.3909351 0.618181818  120   11   65   46   10
125 1.5388187 1.6170003 0.627272727  125   11   66   45   10
51  1.5397860 1.5854607 0.636363636   51   11   68   43   10
85  1.5459320 1.2944662 0.636363636   85   11   68   43   10
22  1.5774349 0.3010300 0.654545455   22   11   72   39   10
63  1.5524336 0.8573325 0.654545455   63   11   72   39   10
94  1.6057259 1.8000294 0.654545455   94   11   72   39   10
103 1.5605838 2.0182843 0.654545455  103   11   72   39   10
47  1.6157811 2.5125510 0.657657658   47   10   72   39   11
10  1.5676136 0.0000000 0.663636364   10   10   73   38   11
126 1.5904026 2.9914033 0.666666667  126    9   73   38   12
50  1.6273418 2.2370408 0.681818182   50    9   76   35   12
91  1.6098800 2.2636361 0.681818182   91    9   76   35   12
123 1.6118288 1.6294096 0.681818182  123    9   76   35   12
95  1.5830672 2.0744507 0.690909091   95    9   78   33   12
100 1.6197949 1.2944662 0.690909091  100    9   78   33   12
211 1.6404707 0.7993405 0.709090909   21    9   80   31   12
59  1.6372566 1.5658478 0.709090909   59    9   80   31   12
55  1.6694960 2.7629785 0.711711712   55    8   80   31   13
127 1.6540876 1.8970770 0.745454545  127    8   81   30   13
97  1.6665541 2.4549972 0.756756757   97    7   81   30   14
40  1.6804999 0.3010300 0.763636364   40    7   83   28   14
105 1.6999464 1.2253093 0.763636364  105    7   83   28   14
23  1.7419598 0.0000000 0.772727273   23    7   86   25   14
110 1.7304654 1.1613680 0.772727273  110    7   86   25   14
119 1.7011855 0.3010300 0.772727273  119    7   86   25   14
96  1.7103709 2.4141374 0.783783784   96    6   86   25   15
