# threshold = 2.17548324179509
# Area under ROC curve = 0.557286258220838
# aggregate.tpos = 7
# aggregate.tneg = 85
# aggregate.fpos = 22
# aggregate.fneg = 20
# rocframe: 
    predicted    actual  threshold fold tpos tneg fpos fneg
1   0.7215223 1.0755470 0.00000000    1   27    4  103    0
25  1.1045870 2.0338257 0.00000000    2   27    4  103    0
30  0.7762799 0.6127839 0.00000000    2   27    4  103    0
31  1.0196719 1.1303338 0.00000000    2   27    4  103    0
26  1.2201529 1.7767012 0.03174603    2   27    5  102    0
11  0.9652473 1.6954817 0.03370787    1   27    6  101    0
23  1.2834989 2.5627685 0.06349206    2   26    6  101    1
9   1.1136462 1.7581546 0.06741573    1   26    7  100    1
8   1.1565800 1.5611014 0.07865169    1   26    8   99    1
28  1.3210807 1.7566361 0.07936508    2   26    9   98    1
32  1.3656843 1.2576786 0.09523810    2   26   12   95    1
38  1.3583489 1.5728716 0.09523810    2   26   12   95    1
40  1.3543962 0.9912261 0.09523810    2   26   12   95    1
10  1.2250089 0.7993405 0.10112360    1   26   14   93    1
15  1.2332017 1.4785665 0.10112360    1   26   14   93    1
2   1.2518175 1.3856063 0.11235955    1   26   16   91    1
5   1.2555684 0.9344985 0.11235955    1   26   16   91    1
92  1.3605150 2.6134189 0.11594203    3   25   16   91    2
12  1.3222156 1.8344207 0.12359551    1   25   18   89    2
14  1.2977613 1.6812412 0.12359551    1   25   18   89    2
41  1.4402713 2.1051694 0.14285714    2   24   21   86    3
43  1.4522645 2.6386889 0.14285714    2   24   21   86    3
44  1.4265060 0.9777236 0.14285714    2   24   21   86    3
50  1.4273231 1.5263393 0.14285714    2   24   21   86    3
42  1.4625213 0.7160033 0.15873016    2   24   22   85    3
6   1.4337282 2.3147097 0.17977528    1   24   23   84    3
13  1.4817789 1.4456042 0.21348315    1   24   24   83    3
103 1.4444634 1.7923917 0.21739130    3   24   26   81    3
115 1.4540155 2.2516382 0.21739130    3   24   26   81    3
24  1.5459184 3.3837436 0.22222222    2   23   27   80    4
45  1.5401375 1.5024271 0.22222222    2   23   27   80    4
39  1.5812014 1.7024305 0.23809524    2   23   28   79    4
94  1.4774537 1.5717088 0.24637681    3   22   29   78    5
123 1.4754182 2.9641653 0.24637681    3   22   29   78    5
132 1.5861521 1.5899496 0.26000000    4   22   30   77    5
102 1.4972273 2.1251558 0.26086957    3   22   31   76    5
96  1.5305480 1.9469433 0.27536232    3   21   32   75    6
124 1.5263595 2.3960249 0.27536232    3   21   32   75    6
33  1.6932894 1.5899496 0.28571429    2   21   35   72    6
49  1.6700474 1.6551384 0.28571429    2   21   35   72    6
56  1.6984125 1.3344538 0.28571429    2   21   35   72    6
51  1.7165812 3.3837436 0.30158730    2   20   35   72    7
65  1.7280831 1.0374265 0.31746032    2   20   36   71    7
46  1.7333999 2.2866810 0.33333333    2   20   40   67    7
52  1.7698913 1.3010300 0.33333333    2   20   40   67    7
63  1.7316284 1.6963564 0.33333333    2   20   40   67    7
69  1.7766682 1.8382192 0.33333333    2   20   40   67    7
118 1.5726522 1.1986571 0.34782609    3   19   41   66    8
120 1.5679584 2.4879863 0.34782609    3   19   41   66    8
53  1.7874747 1.1613680 0.34920635    2   19   42   65    8
131 1.6502831 2.1664301 0.35000000    4   19   43   64    8
122 1.5903803 2.4549972 0.36231884    3   18   43   64    9
129 1.6809551 1.9454686 0.38000000    4   18   44   63    9
128 1.7002746 1.4456042 0.39000000    4   18   45   62    9
57  1.8251636 1.3856063 0.41269841    2   18   46   61    9
95  1.6223188 2.5880475 0.43478261    3   17   47   60   10
119 1.6192138 2.1945143 0.43478261    3   17   47   60   10
127 1.7680343 1.7520484 0.47000000    4   17   48   59   10
