# Seed = 722
# Site = neshotah
# Method = spls-select
# Area under ROC curve = 0.846042471042471
# aggregate.tpos = 7
# aggregate.tneg = 139
# aggregate.fpos = 9
# aggregate.fneg = 7
# variables: beach_WaveHeightManual, CloudCover_Mean_1, CloudCover_Mean_2, CloudCover_Mean_6, CloudCover_Mean_12, HeightAboveSeaLevel_Min_24, CurrentDepthAveraged_Mean_120_perp, CurrentDepthAveraged_Mean_120_par, CurrentSurface_Mean_120_par, WaveHeight_Mean_1, WaveHeight_Mean_2, WaveHeight_Mean_6, WaveHeight_Mean_12, WaveHeightDirection_Mean_6_par, WaveHeightDirection_Mean_12_par, WaveHeightDirection_Mean_24_par, Wind_Mean_24_par, beach_AlgaeNearshore2, log.beach_TurbidityBeach
# thresholding specificity: 0.959183673469388
# decision threshold: 2.26107520705293
# full results: 
    predicted    actual   threshold fold tpos tneg fpos fneg
122 0.6881086 0.0000000 0.000000000  122   14    1  147    0
118 0.8152791 0.8633229 0.006802721  118   14    2  146    0
43  0.7300201 0.7993405 0.013605442   43   14    4  144    0
75  0.7484531 0.9242793 0.013605442   75   14    4  144    0
42  0.9307384 0.7923917 0.027210884   42   14    6  142    0
124 0.8109037 1.2329961 0.027210884  124   14    6  142    0
46  0.9420528 0.7993405 0.040816327   46   14    7  141    0
37  0.9324552 2.0437551 0.054421769   37   14    8  140    0
57  1.0310169 0.7075702 0.061224490   57   14   11  137    0
91  0.9667541 0.9344985 0.061224490   91   14   11  137    0
114 1.0405837 1.5440680 0.061224490  114   14   11  137    0
50  0.9282533 1.0755470 0.068027211   50   14   12  136    0
77  1.0274583 1.0334238 0.074829932   77   14   13  135    0
70  1.0360830 1.5145478 0.081632653   70   14   14  134    0
29  1.0378621 0.6127839 0.095238095   29   14   15  133    0
90  1.1550418 1.4756712 0.102040816   90   14   16  132    0
56  1.0831034 1.8175654 0.108843537   56   14   17  131    0
126 1.1207934 0.6127839 0.115646259  126   14   18  130    0
44  1.1204004 0.7160033 0.122448980   44   14   20  128    0
88  1.1027390 0.9542425 0.122448980   88   14   20  128    0
45  1.0751975 1.6384893 0.142857143   45   14   23  125    0
67  1.1408847 1.1335389 0.142857143   67   14   23  125    0
85  1.1410260 0.7993405 0.142857143   85   14   23  125    0
74  1.1470524 1.2900346 0.149659864   74   14   25  123    0
109 1.1612993 0.0000000 0.149659864  109   14   25  123    0
30  1.1514707 0.7075702 0.170068027   30   14   28  120    0
41  1.1905396 1.1643529 0.170068027   41   14   28  120    0
137 1.1414056 1.7092700 0.170068027  137   14   28  120    0
66  1.1885336 1.4440448 0.176870748   66   14   29  119    0
160 1.1233416 2.9377184 0.182432432  160   13   29  119    1
96  1.1644635 1.5809250 0.183673469   96   13   30  118    1
136 1.2481716 1.0334238 0.210884354  136   13   31  117    1
95  1.2341132 1.5550944 0.217687075   95   13   35  113    1
123 1.1686526 1.5550944 0.217687075  123   13   35  113    1
138 1.1865439 0.4771213 0.217687075  138   13   35  113    1
144 1.1639523 0.8750613 0.217687075  144   13   35  113    1
132 1.1640903 2.2195845 0.238095238  132   13   36  112    1
3   1.2008621 1.1398791 0.265306122    3   13   37  111    1
31  1.2161168 0.0000000 0.272108844   31   13   38  110    1
110 1.2146185 1.4593925 0.278911565  110   13   39  109    1
72  1.2421080 0.7160033 0.292517007   72   13   40  108    1
94  1.2919539 1.6599162 0.299319728   94   13   41  107    1
145 1.3181425 1.2278867 0.312925170  145   13   42  106    1
26  1.2401591 1.1271048 0.319727891   26   13   43  105    1
73  1.2511536 1.4593925 0.326530612   73   13   44  104    1
9   1.2478229 1.7846173 0.333333333    9   13   46  102    1
78  1.3452070 0.3010300 0.333333333   78   13   46  102    1
65  1.2935564 1.3483049 0.340136054   65   13   47  101    1
15  1.3049788 1.3820170 0.346938776   15   13   48  100    1
87  1.2857685 1.2430380 0.353741497   87   13   49   99    1
51  1.2639198 2.1711412 0.367346939   51   13   51   97    1
52  1.3419186 0.4771213 0.367346939   52   13   51   97    1
63  1.3656309 1.7737864 0.374149660   63   13   54   94    1
92  1.2862193 0.9822712 0.374149660   92   13   54   94    1
131 1.2866674 1.2041200 0.374149660  131   13   54   94    1
19  1.3603916 1.3856063 0.380952381   19   13   55   93    1
108 1.2933305 1.1702617 0.387755102  108   13   56   92    1
17  1.3173483 1.6730209 0.401360544   17   13   57   91    1
5   1.3166747 1.5378191 0.408163265    5   13   59   89    1
125 1.3534239 1.3909351 0.408163265  125   13   59   89    1
62  1.3108177 1.7355989 0.421768707   62   13   61   87    1
97  1.3664374 1.4297523 0.421768707   97   13   61   87    1
101 1.3403509 1.3820170 0.435374150  101   13   62   86    1
115 1.3826937 1.0863598 0.442176871  115   13   63   85    1
76  1.3777780 0.8692317 0.448979592   76   13   65   83    1
89  1.3721844 2.2159018 0.448979592   89   13   65   83    1
54  1.4094691 0.4913617 0.462585034   54   13   68   80    1
58  1.3384557 1.0791812 0.462585034   58   13   68   80    1
98  1.3608582 1.9355073 0.462585034   98   13   68   80    1
28  1.4031735 1.4456042 0.469387755   28   13   69   79    1
21  1.3946282 1.2671717 0.476190476    2   13   72   76    1
117 1.3793348 1.0791812 0.476190476  117   13   72   76    1
153 1.3852831 1.2329961 0.476190476  153   13   72   76    1
127 1.4306984 1.0334238 0.489795918  127   13   73   75    1
22  1.4202057 1.8088859 0.496598639   22   13   74   74    1
49  1.3913331 1.7226339 0.503401361   49   13   75   73    1
135 1.4217023 0.6127839 0.517006803  135   13   76   72    1
11  1.4365097 1.8680564 0.530612245   11   13   77   71    1
71  1.4127715 1.6063814 0.537414966   71   13   78   70    1
86  1.4318587 1.0791812 0.544217687   86   13   79   69    1
143 1.4494103 1.0863598 0.551020408  143   13   80   68    1
151 1.4949840 0.3010300 0.578231293  151   13   81   67    1
142 1.4511683 1.5092025 0.591836735  142   13   83   65    1
