# Seed = 392
# Site = thompson
# Method = spls-select
# Area under ROC curve = 0.880952380952381
# aggregate.tpos = 8
# aggregate.tneg = 122
# aggregate.fpos = 7
# aggregate.fneg = 6
# variables: beach_WaterTemp, beach_WaveHeightManual, AirTemperature_StDev_6, Sqrt.Precipitation.over.upload.Thompson.Sum..24hr, Sqrt.Precipitation.over.upload.Thompson.Sum..72hr, Sqrt.Precipitation.over.upload.maslowski.Sum..12hr, Sqrt.Precipitation.over.upload.maslowski.Sum..24hr, Sqrt.Precipitation.over.upload.maslowski.Sum..72hr, log.beach_TurbidityBeach
# thresholding specificity: 0.96875
# decision threshold: 2.07611433859646
# full results: 
    predicted    actual threshold fold tpos tneg fpos fneg
13  0.3590407 1.4132998 0.0000000   13   14    2  127    0
24  0.6269605 0.0000000 0.0000000   24   14    2  127    0
72  0.4078894 0.7160033 0.0078125   72   14    3  126    0
4   0.3839128 0.7160033 0.0156250    4   14    4  125    0
34  0.7918596 0.0000000 0.0468750   34   14    5  124    0
73  0.7691065 0.3010300 0.0625000   73   14    6  123    0
71  0.7547345 0.7993405 0.0703125   71   14    8  121    0
141 0.7582837 0.8633229 0.0703125  141   14    8  121    0
19  0.8609444 0.3010300 0.0781250   19   14   10  119    0
25  0.7488503 0.9242793 0.0781250   25   14   10  119    0
85  0.6634688 1.0827854 0.0859375   85   14   11  118    0
75  0.6682490 0.9344985 0.0937500   75   14   13  116    0
130 0.7623233 0.8750613 0.0937500  130   14   13  116    0
77  0.6794553 1.2041200 0.1093750   77   14   15  114    0
135 0.8394440 0.4771213 0.1093750  135   14   15  114    0
18  0.8247706 1.4248816 0.1171875   18   14   16  113    0
23  0.8572046 1.3483049 0.1250000   23   14   17  112    0
33  0.8838728 0.0000000 0.1406250   33   14   19  110    0
140 0.8241521 1.0863598 0.1406250  140   14   19  110    0
32  0.7803795 0.7160033 0.1484375   32   14   20  109    0
22  0.8711666 1.0374265 0.1562500   22   14   21  108    0
124 0.8723640 0.6127839 0.1640625  124   14   22  107    0
38  0.9457570 0.0000000 0.1796875   38   14   24  105    0
134 0.9156928 1.2380461 0.1796875  134   14   24  105    0
133 0.9287148 1.0863598 0.2109375  133   14   25  104    0
142 0.9352968 1.3074960 0.2187500  142   14   26  103    0
36  0.9639951 1.5263393 0.2265625   36   14   27  102    0
86  0.9466974 1.9818186 0.2343750   86   14   28  101    0
