pred	truth	fitted	actual
1.445644473	1.907411361	1.310729524	0.477121255
1.629928127	1.227886705	1.795744524	1.294466226
1.79388352	0.875061263	1.960649551	2.886547123
1.477130994	0.612783857	1.719400303	1.774516966
1.861595953	3.298044843	1.883413636	1.769377326
1.83916002	3.238773502	1.303309918	0.301029996
1.798543352	1.309630167	1.370978496	0.612783857
1.975177627	3.298044843	1.486446316	1.59439255
1.48168243	1.779596491	1.892605653	2.495544338
1.440658143	2.061829307	1.948752803	2.561816664
1.417694912	0	1.492152343	1.193124598
1.574643713	1.537819095	1.619777729	1.72427587
1.875878824	1.439332694	1.508741074	1.489958479
1.293799604	0.612783857	1.305501762	0.799340549
1.329313239	2.45909079	1.515039007	1.434568904
		1.610353277	1.812913357
		1.607603862	1.555094449
		1.653748986	1.589949601
		1.330659191	0.491361694
		1.558626703	1.600972896
		1.393784855	1.206825876
		1.29687119	0.707570176
		1.265529957	0
		1.961838586	2.454997217
		1.553552388	1.784617293
		1.441323093	1.271841607
		1.7770773	1.797267541
		1.463363223	1.238046103
		1.555963435	1.59439255
		1.452283437	1.334453751
		1.153384192	0
		1.241398619	0.301029996
		1.718210266	1.588831726
		1.759316263	1.913813852
		2.058938093	2.420120848
		2.060914032	3.19119942
		1.974165365	3.113843119
		1.602968613	1.675778342
		1.298956336	0.707570176
		1.411472971	1.127104798
		1.413918391	1.320146286
		1.455011205	1.120573931
		1.313920072	0.991226076
		1.887395246	2.058805487
		1.95469278	2.033825694
		1.235251812	0
		1.522525355	1.465382851
		1.465030251	1.394451681
		1.739178455	1.729974286
		1.476003764	1.190331698
		1.524234455	1.376576957
		1.39649838	0.986771734
		1.753496815	2.197556213
		1.836591945	2.08278537
		1.747149621	1.682145076
		1.395283136	1.025305865
		1.707891607	2.208441356
		1.367797861	1.037426498
		1.620717397	0.716003344
		1.625558357	1.607455023
		1.31796735	0.301029996
		1.808551283	3.383743576
		1.529400689	2.314709693
