pred,truth,critical specificity,,,fitted,actual,exceedance,non-exceednace,spec
2.043330307,1.294466226,na,,,1.210930975,0,0,1,0.018518519
1.969366536,2.886547123,1,,,1.223212671,0,0,1,0.037037037
1.549339655,0.301029996,0.518518519,,,1.229882105,0.612783857,0,1,0.055555556
1.573104525,1.193124598,0.518518519,,,1.243117059,0,0,1,0.074074074
1.71453373,1.489958479,0.796296296,,,1.286169134,0,0,1,0.092592593
1.391737244,0.799340549,0.240740741,,,1.333983859,0.477121255,0,1,0.111111111
1.515457637,1.434568904,0.481481481,,,1.34709694,0.612783857,0,1,0.12962963
1.591902495,1.600972896,0.537037037,,,1.349334142,0.612783857,0,1,0.148148148
1.902040551,2.454997217,0.962962963,,,1.349961083,0.491361694,0,1,0.166666667
1.513128447,1.784617293,0.481481481,,,1.357743834,0.707570176,0,1,0.185185185
1.76980814,1.797267541,0.87037037,,,1.364957865,0.707570176,0,1,0.203703704
1.565154561,0.301029996,0.518518519,,,1.387986762,0.991226076,0,1,0.222222222
1.541729179,1.913813852,0.5,,,1.420273303,1.59439255,0,1,0.240740741
2.038719627,2.420120848,na,,,1.422026354,0.301029996,0,1,0.259259259
1.811078124,3.19119942,0.925925926,,,1.428963328,1.271841607,0,1,0.277777778
1.805507033,3.113843119,0.907407407,,,1.430629188,0.875061263,0,1,0.296296296
1.57337869,1.120573931,0.518518519,,,1.433801441,0.986771734,0,1,0.314814815
,,,,,1.446317684,1.334453751,0,1,0.333333333
,,,,,1.454143797,1.320146286,0,1,0.351851852
,,,,,1.456274169,1.025305865,0,1,0.37037037
,,,,,1.463233489,1.238046103,0,1,0.388888889
,,,,,1.48628426,1.206825876,0,1,0.407407407
,,,,,1.494503723,1.190331698,0,1,0.425925926
,,,,,1.503539224,1.394451681,0,1,0.444444444
,,,,,1.509313083,1.127104798,0,1,0.462962963
,,,,,1.519321145,1.465382851,0,1,0.481481481
,,,,,1.547245143,1.376576957,0,1,0.5
,,,,,1.580081193,1.227886705,0,1,0.518518519
,,,,,1.593630101,1.607455023,0,1,0.537037037
,,,,,1.599235561,1.779596491,0,1,0.555555556
,,,,,1.604916577,1.59439255,0,1,0.574074074
,,,,,1.61595813,1.907411361,0,1,0.592592593
,,,,,1.619958693,1.555094449,0,1,0.611111111
,,,,,1.621976982,1.72427587,0,1,0.62962963
,,,,,1.6221454,1.589949601,0,1,0.648148148
,,,,,1.630446286,1.537819095,0,1,0.666666667
,,,,,1.634318333,2.314709693,0,1,0.685185185
,,,,,1.647264084,1.037426498,0,1,0.703703704
,,,,,1.647700824,1.309630167,0,1,0.722222222
,,,,,1.65098688,0.716003344,0,1,0.740740741
,,,,,1.662410661,2.061829307,0,1,0.759259259
,,,,,1.691907676,1.812913357,0,1,0.777777778
,,,,,1.729040953,1.439332694,0,1,0.796296296
,,,,,1.732426376,1.774516966,0,1,0.814814815
,,,,,1.74323045,2.45909079,1,0,0.814814815
,,,,,1.751001139,2.197556213,0,1,0.833333333
,,,,,1.751036314,1.675778342,0,1,0.851851852
,,,,,1.776361683,1.588831726,0,1,0.87037037
,,,,,1.800037526,2.08278537,0,1,0.888888889
,,,,,1.808242197,1.729974286,0,1,0.907407407
,,,,,1.87478677,1.682145076,0,1,0.925925926
,,,,,1.878503192,2.208441356,0,1,0.944444444
,,,,,1.902870741,3.383743576,1,0,0.944444444
,,,,,1.949444545,1.769377326,0,1,0.962962963
,,,,,1.960529342,2.495544338,1,0,0.962962963
,,,,,1.968618553,2.058805487,0,1,0.981481481
,,,,,1.986713349,2.561816664,1,0,0.981481481
,,,,,2.009115366,2.033825694,0,1,1
,,,,,2.041794854,3.238773502,1,0,1
,,,,,2.116158166,3.298044843,1,0,1
,,,,,2.137770197,3.298044843,1,0,1
,,,,,,,7,54,
