pred,truth,critical specificity,,fitted,actual,exceedance,non-exceednace,spec
1.524090583,0.477121255,0.509433962,,1.081861673,0,0,1,0.018867925
1.510491642,0.612783857,0.509433962,,1.082386357,0,0,1,0.037735849
1.72422877,2.495544338,0.773584906,,1.124104459,0.301029996,0,1,0.056603774
1.782477386,2.561816664,0.849056604,,1.149765388,0,0,1,0.075471698
1.740147139,1.589949601,0.811320755,,1.168067579,0.612783857,0,1,0.094339623
1.33165592,1.334453751,0.245283019,,1.233338764,0.707570176,0,1,0.113207547
1.413234366,1.320146286,0.301886792,,1.234083426,0.612783857,0,1,0.132075472
1.280453425,0,0.188679245,,1.258836283,0.301029996,0,1,0.150943396
1.428698218,1.465382851,0.377358491,,1.271212126,0.707570176,0,1,0.169811321
1.481963784,1.190331698,0.452830189,,1.288136114,0.491361694,0,1,0.188679245
1.499178734,2.197556213,0.490566038,,1.296239529,0.799340549,0,1,0.20754717
1.711298881,2.08278537,0.773584906,,1.310705861,0.986771734,0,1,0.226415094
1.477840324,1.025305865,0.452830189,,1.35622977,0.301029996,0,1,0.245283019
1.428607057,2.208441356,0.377358491,,1.373349507,0.991226076,0,1,0.264150943
1.555972478,1.607455023,0.509433962,,1.406910021,1.238046103,0,1,0.283018868
,,,,1.414561305,0.875061263,0,1,0.301886792
,,,,1.41987162,1.127104798,0,1,0.320754717
,,,,1.421987055,1.206825876,0,1,0.339622642
,,,,1.42534249,1.037426498,0,1,0.358490566
,,,,1.429831559,1.120573931,0,1,0.377358491
,,,,1.441471755,1.394451681,0,1,0.396226415
,,,,1.4447296,1.271841607,0,1,0.41509434
,,,,1.45286883,1.59439255,0,1,0.433962264
,,,,1.487958754,1.434568904,0,1,0.452830189
,,,,1.496360104,1.376576957,0,1,0.471698113
,,,,1.505912382,1.193124598,0,1,0.490566038
,,,,1.616648404,1.59439255,0,1,0.509433962
,,,,1.621150811,0.716003344,0,1,0.528301887
,,,,1.628311375,1.227886705,0,1,0.547169811
,,,,1.640152761,1.537819095,0,1,0.566037736
,,,,1.644202318,1.600972896,0,1,0.58490566
,,,,1.647662818,2.314709693,0,1,0.603773585
,,,,1.651040282,1.489958479,0,1,0.622641509
,,,,1.665810609,1.784617293,0,1,0.641509434
,,,,1.666630322,1.907411361,0,1,0.660377358
,,,,1.668313344,1.309630167,0,1,0.679245283
,,,,1.687095454,1.779596491,0,1,0.698113208
,,,,1.688964151,1.555094449,0,1,0.716981132
,,,,1.690315646,2.45909079,1,0,0.716981132
,,,,1.708421746,1.729974286,0,1,0.735849057
,,,,1.710279022,1.675778342,0,1,0.754716981
,,,,1.728270553,1.439332694,0,1,0.773584906
,,,,1.729607028,1.812913357,0,1,0.79245283
,,,,1.742108987,1.72427587,0,1,0.811320755
,,,,1.773778304,1.682145076,0,1,0.830188679
,,,,1.792986098,2.061829307,0,1,0.849056604
,,,,1.805003286,1.774516966,0,1,0.867924528
,,,,1.841624969,1.797267541,0,1,0.886792453
,,,,1.859300225,1.588831726,0,1,0.905660377
,,,,1.879346323,1.913813852,0,1,0.924528302
,,,,1.983997144,1.769377326,0,1,0.943396226
,,,,2.030557585,2.058805487,0,1,0.962264151
,,,,2.040951521,2.454997217,1,0,0.962264151
,,,,2.083720109,1.294466226,0,1,0.981132075
,,,,2.108427255,3.383743576,1,0,0.981132075
,,,,2.120356569,2.033825694,0,1,1
,,,,2.280873932,3.298044843,1,0,1
,,,,2.282030831,3.113843119,1,0,1
,,,,2.290804598,3.238773502,1,0,1
,,,,2.319941098,2.886547123,1,0,1
,,,,2.397442516,2.420120848,1,0,1
,,,,2.410339324,3.19119942,1,0,1
,,,,2.543441888,3.298044843,1,0,1
,,,,,,10,53,
